State,Condition,Measure Name,Measure ID,Score,Footnote,Measure Start Date,Measure End Date
MT,Heart Attack or Chest Pain,Average (median) number of minutes before outpatients with chest pain or possible heart attack got an ECG A lower number of minutes is better,OP_5,11,26 - State and national averages include Department of Defense (DoD) hospital data.,04/01/2017,03/31/2018
NH,Heart Attack or Chest Pain,Average (median) number of minutes before outpatients with chest pain or possible heart attack got an ECG A lower number of minutes is better,OP_5,8,26 - State and national averages include Department of Defense (DoD) hospital data.,04/01/2017,03/31/2018
OK,Heart Attack or Chest Pain,Average (median) number of minutes before outpatients with chest pain or possible heart attack got an ECG A lower number of minutes is better,OP_5,7,26 - State and national averages include Department of Defense (DoD) hospital data.,04/01/2017,03/31/2018
TN,Heart Attack or Chest Pain,Average (median) number of minutes before outpatients with chest pain or possible heart attack got an ECG A lower number of minutes is better,OP_5,6,26 - State and national averages include Department of Defense (DoD) hospital data.,04/01/2017,03/31/2018
AK,Heart Attack or Chest Pain,Outpatients with chest pain or possible heart attack who got drugs to break up blood clots within 30 minutes of arrival Higher percentages are better,OP_2,61,26 - State and national averages include Department of Defense (DoD) hospital data.,04/01/2017,03/31/2018
AS,Heart Attack or Chest Pain,Outpatients with chest pain or possible heart attack who got drugs to break up blood clots within 30 minutes of arrival Higher percentages are better,OP_2,Not Available,5 - Results are not available for this reporting period.,04/01/2017,03/31/2018
IA,Heart Attack or Chest Pain,Outpatients with chest pain or possible heart attack who got drugs to break up blood clots within 30 minutes of arrival Higher percentages are better,OP_2,51,26 - State and national averages include Department of Defense (DoD) hospital data.,04/01/2017,03/31/2018
MT,Heart Attack or Chest Pain,Outpatients with chest pain or possible heart attack who got drugs to break up blood clots within 30 minutes of arrival Higher percentages are better,OP_2,54,26 - State and national averages include Department of Defense (DoD) hospital data.,04/01/2017,03/31/2018
NH,Heart Attack or Chest Pain,Outpatients with chest pain or possible heart attack who got drugs to break up blood clots within 30 minutes of arrival Higher percentages are better,OP_2,47,26 - State and national averages include Department of Defense (DoD) hospital data.,04/01/2017,03/31/2018
OK,Heart Attack or Chest Pain,Outpatients with chest pain or possible heart attack who got drugs to break up blood clots within 30 minutes of arrival Higher percentages are better,OP_2,61,26 - State and national averages include Department of Defense (DoD) hospital data.,04/01/2017,03/31/2018
TN,Heart Attack or Chest Pain,Outpatients with chest pain or possible heart attack who got drugs to break up blood clots within 30 minutes of arrival Higher percentages are better,OP_2,63,26 - State and national averages include Department of Defense (DoD) hospital data.,04/01/2017,03/31/2018
AK,Heart Attack or Chest Pain,Outpatients with chest pain or possible heart attack who received aspirin within 24 hours of arrival or before transferring from the emergency department Higher percentages are better,OP_4,95,26 - State and national averages include Department of Defense (DoD) hospital data.,04/01/2017,03/31/2018
AS,Heart Attack or Chest Pain,Outpatients with chest pain or possible heart attack who received aspirin within 24 hours of arrival or before transferring from the emergency department Higher percentages are better,OP_4,Not Available,5 - Results are not available for this reporting period.,04/01/2017,03/31/2018
IA,Heart Attack or Chest Pain,Outpatients with chest pain or possible heart attack who received aspirin within 24 hours of arrival or before transferring from the emergency department Higher percentages are better,OP_4,95,26 - State and national averages include Department of Defense (DoD) hospital data.,04/01/2017,03/31/2018
MT,Heart Attack or Chest Pain,Outpatients with chest pain or possible heart attack who received aspirin within 24 hours of arrival or before transferring from the emergency department Higher percentages are better,OP_4,98,26 - State and national averages include Department of Defense (DoD) hospital data.,04/01/2017,03/31/2018
NH,Heart Attack or Chest Pain,Outpatients with chest pain or possible heart attack who received aspirin within 24 hours of arrival or before transferring from the emergency department Higher percentages are better,OP_4,96,26 - State and national averages include Department of Defense (DoD) hospital data.,04/01/2017,03/31/2018
OK,Heart Attack or Chest Pain,Outpatients with chest pain or possible heart attack who received aspirin within 24 hours of arrival or before transferring from the emergency department Higher percentages are better,OP_4,94,26 - State and national averages include Department of Defense (DoD) hospital data.,04/01/2017,03/31/2018
TN,Heart Attack or Chest Pain,Outpatients with chest pain or possible heart attack who received aspirin within 24 hours of arrival or before transferring from the emergency department Higher percentages are better,OP_4,95,26 - State and national averages include Department of Defense (DoD) hospital data.,04/01/2017,03/31/2018
AK,Emergency Department,"Average (median) time patients spent in the emergency department, before they were admitted to the hospital as an inpatient A lower number of minutes is better",ED_1b,284,"25 - State and National Averages include Veterans Health Administration (VHA) hospital data., 26 - State and national averages include Department of Defense (DoD) hospital data.",04/01/2017,03/31/2018
AS,Emergency Department,"Average (median) time patients spent in the emergency department, before they were admitted to the hospital as an inpatient A lower number of minutes is better",ED_1b,Not Available,5 - Results are not available for this reporting period.,04/01/2017,03/31/2018
IA,Emergency Department,"Average (median) time patients spent in the emergency department, before they were admitted to the hospital as an inpatient A lower number of minutes is better",ED_1b,190,"26 - State and national averages include Department of Defense (DoD) hospital data., 25 - State and National Averages include Veterans Health Administration (VHA) hospital data.",04/01/2017,03/31/2018
MT,Emergency Department,"Average (median) time patients spent in the emergency department, before they were admitted to the hospital as an inpatient A lower number of minutes is better",ED_1b,162,"25 - State and National Averages include Veterans Health Administration (VHA) hospital data., 26 - State and national averages include Department of Defense (DoD) hospital data.",04/01/2017,03/31/2018
NH,Emergency Department,"Average (median) time patients spent in the emergency department, before they were admitted to the hospital as an inpatient A lower number of minutes is better",ED_1b,296,"25 - State and National Averages include Veterans Health Administration (VHA) hospital data., 26 - State and national averages include Department of Defense (DoD) hospital data.",04/01/2017,03/31/2018
OK,Emergency Department,"Average (median) time patients spent in the emergency department, before they were admitted to the hospital as an inpatient A lower number of minutes is better",ED_1b,211,"25 - State and National Averages include Veterans Health Administration (VHA) hospital data., 26 - State and national averages include Department of Defense (DoD) hospital data.",04/01/2017,03/31/2018
TN,Emergency Department,"Average time patients spent in the emergency department, before they were admitted to the hospital as an inpatient A lower number of minutes is better (high)",ED_1b_HIGH_MIN,286,,04/01/2017,03/31/2018
TN,Emergency Department,"Average (median) time patients spent in the emergency department, before they were admitted to the hospital as an inpatient A lower number of minutes is better",ED_1b,243,"25 - State and National Averages include Veterans Health Administration (VHA) hospital data., 26 - State and national averages include Department of Defense (DoD) hospital data.",04/01/2017,03/31/2018
AK,Emergency Department,"Average time patients spent in the emergency department, before they were admitted to the hospital as an inpatient A lower number of minutes is better (low)",ED_1b_LOW_MIN,314,,04/01/2017,03/31/2018
AS,Emergency Department,"Average time patients spent in the emergency department, before they were admitted to the hospital as an inpatient A lower number of minutes is better (low)",ED_1b_LOW_MIN,Not Available,5 - Results are not available for this reporting period.,04/01/2017,03/31/2018
IA,Emergency Department,"Average time patients spent in the emergency department, before they were admitted to the hospital as an inpatient A lower number of minutes is better (low)",ED_1b_LOW_MIN,177,,04/01/2017,03/31/2018
MT,Emergency Department,"Average time patients spent in the emergency department, before they were admitted to the hospital as an inpatient A lower number of minutes is better (low)",ED_1b_LOW_MIN,178,,04/01/2017,03/31/2018
NH,Emergency Department,"Average time patients spent in the emergency department, before they were admitted to the hospital as an inpatient A lower number of minutes is better (low)",ED_1b_LOW_MIN,287,,04/01/2017,03/31/2018
OK,Emergency Department,"Average time patients spent in the emergency department, before they were admitted to the hospital as an inpatient A lower number of minutes is better (low)",ED_1b_LOW_MIN,193,,04/01/2017,03/31/2018
TN,Emergency Department,"Average time patients spent in the emergency department, before they were admitted to the hospital as an inpatient A lower number of minutes is better (low)",ED_1b_LOW_MIN,202,,04/01/2017,03/31/2018
AK,Emergency Department,"Average time patients spent in the emergency department, before they were admitted to the hospital as an inpatient A lower number of minutes is better (moderate)",ED_1b_MEDIUM_MIN,282,,04/01/2017,03/31/2018
AS,Emergency Department,"Average time patients spent in the emergency department, before they were admitted to the hospital as an inpatient A lower number of minutes is better (moderate)",ED_1b_MEDIUM_MIN,Not Available,5 - Results are not available for this reporting period.,04/01/2017,03/31/2018
IA,Emergency Department,"Average time patients spent in the emergency department, before they were admitted to the hospital as an inpatient A lower number of minutes is better (moderate)",ED_1b_MEDIUM_MIN,226,,04/01/2017,03/31/2018
MT,Emergency Department,"Average time patients spent in the emergency department, before they were admitted to the hospital as an inpatient A lower number of minutes is better (moderate)",ED_1b_MEDIUM_MIN,254,,04/01/2017,03/31/2018
NH,Emergency Department,"Average time patients spent in the emergency department, before they were admitted to the hospital as an inpatient A lower number of minutes is better (moderate)",ED_1b_MEDIUM_MIN,298,,04/01/2017,03/31/2018
OK,Emergency Department,"Average time patients spent in the emergency department, before they were admitted to the hospital as an inpatient A lower number of minutes is better (moderate)",ED_1b_MEDIUM_MIN,224,,04/01/2017,03/31/2018
TN,Emergency Department,"Average time patients spent in the emergency department, before they were admitted to the hospital as an inpatient A lower number of minutes is better (moderate)",ED_1b_MEDIUM_MIN,238,,04/01/2017,03/31/2018
AK,Emergency Department,"Average time patients spent in the emergency department, before they were admitted to the hospital as an inpatient A lower number of minutes is better (high)",ED_1b_HIGH_MIN,433,,04/01/2017,03/31/2018
AS,Emergency Department,"Average time patients spent in the emergency department, before they were admitted to the hospital as an inpatient A lower number of minutes is better (high)",ED_1b_HIGH_MIN,Not Available,5 - Results are not available for this reporting period.,04/01/2017,03/31/2018
IA,Emergency Department,"Average time patients spent in the emergency department, before they were admitted to the hospital as an inpatient A lower number of minutes is better (high)",ED_1b_HIGH_MIN,226,,04/01/2017,03/31/2018
MT,Emergency Department,"Average time patients spent in the emergency department, before they were admitted to the hospital as an inpatient A lower number of minutes is better (high)",ED_1b_HIGH_MIN,272,,04/01/2017,03/31/2018
NH,Emergency Department,"Average time patients spent in the emergency department, before they were admitted to the hospital as an inpatient A lower number of minutes is better (high)",ED_1b_HIGH_MIN,341,,04/01/2017,03/31/2018
OK,Emergency Department,"Average time patients spent in the emergency department, before they were admitted to the hospital as an inpatient A lower number of minutes is better (high)",ED_1b_HIGH_MIN,274,,04/01/2017,03/31/2018
AK,Emergency Department,"Average time patients spent in the emergency department, before they were admitted to the hospital as an inpatient A lower number of minutes is better (high)",ED_1b_VERY_HIGH_MIN,444,,04/01/2017,03/31/2018
AS,Emergency Department,"Average time patients spent in the emergency department, before they were admitted to the hospital as an inpatient A lower number of minutes is better (high)",ED_1b_VERY_HIGH_MIN,Not Available,5 - Results are not available for this reporting period.,04/01/2017,03/31/2018
IA,Emergency Department,"Average time patients spent in the emergency department, before they were admitted to the hospital as an inpatient A lower number of minutes is better (high)",ED_1b_VERY_HIGH_MIN,289,,04/01/2017,03/31/2018
MT,Emergency Department,"Average time patients spent in the emergency department, before they were admitted to the hospital as an inpatient A lower number of minutes is better (high)",ED_1b_VERY_HIGH_MIN,Not Available,5 - Results are not available for this reporting period.,04/01/2017,03/31/2018
NH,Emergency Department,"Average time patients spent in the emergency department, before they were admitted to the hospital as an inpatient A lower number of minutes is better (high)",ED_1b_VERY_HIGH_MIN,Not Available,5 - Results are not available for this reporting period.,04/01/2017,03/31/2018
OK,Emergency Department,"Average time patients spent in the emergency department, before they were admitted to the hospital as an inpatient A lower number of minutes is better (high)",ED_1b_VERY_HIGH_MIN,255,,04/01/2017,03/31/2018
TN,Emergency Department,"Average time patients spent in the emergency department, before they were admitted to the hospital as an inpatient A lower number of minutes is better (high)",ED_1b_VERY_HIGH_MIN,303,,04/01/2017,03/31/2018
AK,Emergency Department,"Average (median) time patients spent in the emergency department, after the doctor decided to admit them as an inpatient before leaving the emergency department for their inpatient room A lower number of minutes is better",ED_2b,81,"26 - State and national averages include Department of Defense (DoD) hospital data., 25 - State and National Averages include Veterans Health Administration (VHA) hospital data.",04/01/2017,03/31/2018
AS,Emergency Department,"Average (median) time patients spent in the emergency department, after the doctor decided to admit them as an inpatient before leaving the emergency department for their inpatient room A lower number of minutes is better",ED_2b,Not Available,5 - Results are not available for this reporting period.,04/01/2017,03/31/2018
IA,Emergency Department,"Average (median) time patients spent in the emergency department, after the doctor decided to admit them as an inpatient before leaving the emergency department for their inpatient room A lower number of minutes is better",ED_2b,45,"25 - State and National Averages include Veterans Health Administration (VHA) hospital data., 26 - State and national averages include Department of Defense (DoD) hospital data.",04/01/2017,03/31/2018
MT,Emergency Department,"Average (median) time patients spent in the emergency department, after the doctor decided to admit them as an inpatient before leaving the emergency department for their inpatient room A lower number of minutes is better",ED_2b,29,"25 - State and National Averages include Veterans Health Administration (VHA) hospital data., 26 - State and national averages include Department of Defense (DoD) hospital data.",04/01/2017,03/31/2018
NH,Emergency Department,"Average (median) time patients spent in the emergency department, after the doctor decided to admit them as an inpatient before leaving the emergency department for their inpatient room A lower number of minutes is better",ED_2b,97,"25 - State and National Averages include Veterans Health Administration (VHA) hospital data., 26 - State and national averages include Department of Defense (DoD) hospital data.",04/01/2017,03/31/2018
OK,Emergency Department,"Average (median) time patients spent in the emergency department, after the doctor decided to admit them as an inpatient before leaving the emergency department for their inpatient room A lower number of minutes is better",ED_2b,62,"25 - State and National Averages include Veterans Health Administration (VHA) hospital data., 26 - State and national averages include Department of Defense (DoD) hospital data.",04/01/2017,03/31/2018
TN,Emergency Department,"Average (median) time patients spent in the emergency department, after the doctor decided to admit them as an inpatient before leaving the emergency department for their inpatient room A lower number of minutes is better",ED_2b,71,"26 - State and national averages include Department of Defense (DoD) hospital data., 25 - State and National Averages include Veterans Health Administration (VHA) hospital data.",04/01/2017,03/31/2018
AK,Emergency Department,"Average time patients spent in the emergency department, after the doctor decided to admit them as an inpatient before leaving the emergency department for their inpatient room A lower number of minutes is better (low)",ED_2b_LOW_MIN,123,,04/01/2017,03/31/2018
AS,Emergency Department,"Average time patients spent in the emergency department, after the doctor decided to admit them as an inpatient before leaving the emergency department for their inpatient room A lower number of minutes is better (low)",ED_2b_LOW_MIN,Not Available,5 - Results are not available for this reporting period.,04/01/2017,03/31/2018
MT,Emergency Department,Average time patients spent in the emergency department before being sent home A lower number of minutes is better (low),OP_18b_LOW_MIN,102,,04/01/2017,03/31/2018
IA,Emergency Department,"Average time patients spent in the emergency department, after the doctor decided to admit them as an inpatient before leaving the emergency department for their inpatient room A lower number of minutes is better (low)",ED_2b_LOW_MIN,41,,04/01/2017,03/31/2018
MT,Emergency Department,"Average time patients spent in the emergency department, after the doctor decided to admit them as an inpatient before leaving the emergency department for their inpatient room A lower number of minutes is better (low)",ED_2b_LOW_MIN,36,,04/01/2017,03/31/2018
NH,Emergency Department,"Average time patients spent in the emergency department, after the doctor decided to admit them as an inpatient before leaving the emergency department for their inpatient room A lower number of minutes is better (low)",ED_2b_LOW_MIN,62,,04/01/2017,03/31/2018
OK,Emergency Department,"Average time patients spent in the emergency department, after the doctor decided to admit them as an inpatient before leaving the emergency department for their inpatient room A lower number of minutes is better (low)",ED_2b_LOW_MIN,55,,04/01/2017,03/31/2018
TN,Emergency Department,"Average time patients spent in the emergency department, after the doctor decided to admit them as an inpatient before leaving the emergency department for their inpatient room A lower number of minutes is better (low)",ED_2b_LOW_MIN,55,,04/01/2017,03/31/2018
AK,Emergency Department,"Average time patients spent in the emergency department, after the doctor decided to admit them as an inpatient before leaving the emergency department for their inpatient room A lower number of minutes is better (moderate)",ED_2b_MEDIUM_MIN,113,,04/01/2017,03/31/2018
AS,Emergency Department,"Average time patients spent in the emergency department, after the doctor decided to admit them as an inpatient before leaving the emergency department for their inpatient room A lower number of minutes is better (moderate)",ED_2b_MEDIUM_MIN,Not Available,5 - Results are not available for this reporting period.,04/01/2017,03/31/2018
IA,Emergency Department,"Average time patients spent in the emergency department, after the doctor decided to admit them as an inpatient before leaving the emergency department for their inpatient room A lower number of minutes is better (moderate)",ED_2b_MEDIUM_MIN,68,,04/01/2017,03/31/2018
MT,Emergency Department,"Average time patients spent in the emergency department, after the doctor decided to admit them as an inpatient before leaving the emergency department for their inpatient room A lower number of minutes is better (moderate)",ED_2b_MEDIUM_MIN,90,,04/01/2017,03/31/2018
NH,Emergency Department,"Average time patients spent in the emergency department, after the doctor decided to admit them as an inpatient before leaving the emergency department for their inpatient room A lower number of minutes is better (moderate)",ED_2b_MEDIUM_MIN,167,,04/01/2017,03/31/2018
OK,Emergency Department,"Average time patients spent in the emergency department, after the doctor decided to admit them as an inpatient before leaving the emergency department for their inpatient room A lower number of minutes is better (moderate)",ED_2b_MEDIUM_MIN,74,,04/01/2017,03/31/2018
TN,Emergency Department,"Average time patients spent in the emergency department, after the doctor decided to admit them as an inpatient before leaving the emergency department for their inpatient room A lower number of minutes is better (moderate)",ED_2b_MEDIUM_MIN,68,,04/01/2017,03/31/2018
AK,Emergency Department,"Average time patients spent in the emergency department, after the doctor decided to admit them as an inpatient before leaving the emergency department for their inpatient room A lower number of minutes is better (high)",ED_2b_HIGH_MIN,228,,04/01/2017,03/31/2018
AS,Emergency Department,"Average time patients spent in the emergency department, after the doctor decided to admit them as an inpatient before leaving the emergency department for their inpatient room A lower number of minutes is better (high)",ED_2b_HIGH_MIN,Not Available,5 - Results are not available for this reporting period.,04/01/2017,03/31/2018
IA,Emergency Department,"Average time patients spent in the emergency department, after the doctor decided to admit them as an inpatient before leaving the emergency department for their inpatient room A lower number of minutes is better (high)",ED_2b_HIGH_MIN,146,,04/01/2017,03/31/2018
MT,Emergency Department,"Average time patients spent in the emergency department, after the doctor decided to admit them as an inpatient before leaving the emergency department for their inpatient room A lower number of minutes is better (high)",ED_2b_HIGH_MIN,130,,04/01/2017,03/31/2018
NH,Emergency Department,"Average time patients spent in the emergency department, after the doctor decided to admit them as an inpatient before leaving the emergency department for their inpatient room A lower number of minutes is better (high)",ED_2b_HIGH_MIN,140,,04/01/2017,03/31/2018
OK,Emergency Department,"Average time patients spent in the emergency department, after the doctor decided to admit them as an inpatient before leaving the emergency department for their inpatient room A lower number of minutes is better (high)",ED_2b_HIGH_MIN,90,,04/01/2017,03/31/2018
NH,Emergency Department,Average time patients spent in the emergency department before being sent home A lower number of minutes is better (low),OP_18b_LOW_MIN,114,,04/01/2017,03/31/2018
TN,Emergency Department,"Average time patients spent in the emergency department, after the doctor decided to admit them as an inpatient before leaving the emergency department for their inpatient room A lower number of minutes is better (high)",ED_2b_HIGH_MIN,98,,04/01/2017,03/31/2018
AK,Emergency Department,"Average time patients spent in the emergency department, after the doctor decided to admit them as an inpatient before leaving the emergency department for their inpatient room A lower number of minutes is better (high)",ED_2b_VERY_HIGH_MIN,324,,04/01/2017,03/31/2018
AS,Emergency Department,"Average time patients spent in the emergency department, after the doctor decided to admit them as an inpatient before leaving the emergency department for their inpatient room A lower number of minutes is better (high)",ED_2b_VERY_HIGH_MIN,Not Available,5 - Results are not available for this reporting period.,04/01/2017,03/31/2018
IA,Emergency Department,"Average time patients spent in the emergency department, after the doctor decided to admit them as an inpatient before leaving the emergency department for their inpatient room A lower number of minutes is better (high)",ED_2b_VERY_HIGH_MIN,86,,04/01/2017,03/31/2018
MT,Emergency Department,"Average time patients spent in the emergency department, after the doctor decided to admit them as an inpatient before leaving the emergency department for their inpatient room A lower number of minutes is better (high)",ED_2b_VERY_HIGH_MIN,Not Available,5 - Results are not available for this reporting period.,04/01/2017,03/31/2018
NH,Emergency Department,"Average time patients spent in the emergency department, after the doctor decided to admit them as an inpatient before leaving the emergency department for their inpatient room A lower number of minutes is better (high)",ED_2b_VERY_HIGH_MIN,Not Available,5 - Results are not available for this reporting period.,04/01/2017,03/31/2018
OK,Emergency Department,"Average time patients spent in the emergency department, after the doctor decided to admit them as an inpatient before leaving the emergency department for their inpatient room A lower number of minutes is better (high)",ED_2b_VERY_HIGH_MIN,110,,04/01/2017,03/31/2018
TN,Emergency Department,"Average time patients spent in the emergency department, after the doctor decided to admit them as an inpatient before leaving the emergency department for their inpatient room A lower number of minutes is better (high)",ED_2b_VERY_HIGH_MIN,126,,04/01/2017,03/31/2018
AK,Emergency Department,Average (median) time patients spent in the emergency department before leaving from the visit A lower number of minutes is better,OP_18b,141,"25 - State and National Averages include Veterans Health Administration (VHA) hospital data., 26 - State and national averages include Department of Defense (DoD) hospital data.",04/01/2017,03/31/2018
AS,Emergency Department,Average (median) time patients spent in the emergency department before leaving from the visit A lower number of minutes is better,OP_18b,Not Available,5 - Results are not available for this reporting period.,04/01/2017,03/31/2018
IA,Emergency Department,Average (median) time patients spent in the emergency department before leaving from the visit A lower number of minutes is better,OP_18b,109,"25 - State and National Averages include Veterans Health Administration (VHA) hospital data., 26 - State and national averages include Department of Defense (DoD) hospital data.",04/01/2017,03/31/2018
MT,Emergency Department,Average (median) time patients spent in the emergency department before leaving from the visit A lower number of minutes is better,OP_18b,106,"25 - State and National Averages include Veterans Health Administration (VHA) hospital data., 26 - State and national averages include Department of Defense (DoD) hospital data.",04/01/2017,03/31/2018
NH,Emergency Department,Average (median) time patients spent in the emergency department before leaving from the visit A lower number of minutes is better,OP_18b,146,"25 - State and National Averages include Veterans Health Administration (VHA) hospital data., 26 - State and national averages include Department of Defense (DoD) hospital data.",04/01/2017,03/31/2018
OK,Emergency Department,Average (median) time patients spent in the emergency department before leaving from the visit A lower number of minutes is better,OP_18b,109,"25 - State and National Averages include Veterans Health Administration (VHA) hospital data., 26 - State and national averages include Department of Defense (DoD) hospital data.",04/01/2017,03/31/2018
TN,Emergency Department,Average (median) time patients spent in the emergency department before leaving from the visit A lower number of minutes is better,OP_18b,134,"25 - State and National Averages include Veterans Health Administration (VHA) hospital data., 26 - State and national averages include Department of Defense (DoD) hospital data.",04/01/2017,03/31/2018
AK,Emergency Department,Average time patients spent in the emergency department before being sent home A lower number of minutes is better (low),OP_18b_LOW_MIN,148,,04/01/2017,03/31/2018
AS,Emergency Department,Average time patients spent in the emergency department before being sent home A lower number of minutes is better (low),OP_18b_LOW_MIN,Not Available,5 - Results are not available for this reporting period.,04/01/2017,03/31/2018
IA,Emergency Department,Average time patients spent in the emergency department before being sent home A lower number of minutes is better (low),OP_18b_LOW_MIN,104,,04/01/2017,03/31/2018
OK,Emergency Department,Average time patients spent in the emergency department before being sent home A lower number of minutes is better (low),OP_18b_LOW_MIN,102,,04/01/2017,03/31/2018
TN,Emergency Department,Average time patients spent in the emergency department before being sent home A lower number of minutes is better (low),OP_18b_LOW_MIN,113,,04/01/2017,03/31/2018
AK,Emergency Department,Average time patients spent in the emergency department before being sent home A lower number of minutes is better (moderate),OP_18b_MEDIUM_MIN,128,,04/01/2017,03/31/2018
AS,Emergency Department,Average time patients spent in the emergency department before being sent home A lower number of minutes is better (moderate),OP_18b_MEDIUM_MIN,Not Available,5 - Results are not available for this reporting period.,04/01/2017,03/31/2018
IA,Emergency Department,Average time patients spent in the emergency department before being sent home A lower number of minutes is better (moderate),OP_18b_MEDIUM_MIN,137,,04/01/2017,03/31/2018
MT,Emergency Department,Average time patients spent in the emergency department before being sent home A lower number of minutes is better (moderate),OP_18b_MEDIUM_MIN,152,,04/01/2017,03/31/2018
NH,Emergency Department,Average time patients spent in the emergency department before being sent home A lower number of minutes is better (moderate),OP_18b_MEDIUM_MIN,162,,04/01/2017,03/31/2018
OK,Emergency Department,Average time patients spent in the emergency department before being sent home A lower number of minutes is better (moderate),OP_18b_MEDIUM_MIN,125,,04/01/2017,03/31/2018
TN,Emergency Department,Average time patients spent in the emergency department before being sent home A lower number of minutes is better (moderate),OP_18b_MEDIUM_MIN,132,,04/01/2017,03/31/2018
AK,Emergency Department,Average time patients spent in the emergency department before being sent home A lower number of minutes is better (high),OP_18b_HIGH_MIN,109,,04/01/2017,03/31/2018
AS,Emergency Department,Average time patients spent in the emergency department before being sent home A lower number of minutes is better (high),OP_18b_HIGH_MIN,Not Available,5 - Results are not available for this reporting period.,04/01/2017,03/31/2018
IA,Emergency Department,Average time patients spent in the emergency department before being sent home A lower number of minutes is better (high),OP_18b_HIGH_MIN,172,,04/01/2017,03/31/2018
MT,Emergency Department,Average time patients spent in the emergency department before being sent home A lower number of minutes is better (high),OP_18b_HIGH_MIN,138,,04/01/2017,03/31/2018
NH,Emergency Department,Average time patients spent in the emergency department before being sent home A lower number of minutes is better (high),OP_18b_HIGH_MIN,193,,04/01/2017,03/31/2018
OK,Emergency Department,Average time patients spent in the emergency department before being sent home A lower number of minutes is better (high),OP_18b_HIGH_MIN,145,,04/01/2017,03/31/2018
TN,Emergency Department,Average time patients spent in the emergency department before being sent home A lower number of minutes is better (high),OP_18b_HIGH_MIN,158,,04/01/2017,03/31/2018
AK,Emergency Department,Average time patients spent in the emergency department before being sent home A lower number of minutes is better (high),OP_18b_VERY_HIGH_MIN,158,,04/01/2017,03/31/2018
AS,Emergency Department,Average time patients spent in the emergency department before being sent home A lower number of minutes is better (high),OP_18b_VERY_HIGH_MIN,Not Available,5 - Results are not available for this reporting period.,04/01/2017,03/31/2018
IA,Emergency Department,Average time patients spent in the emergency department before being sent home A lower number of minutes is better (high),OP_18b_VERY_HIGH_MIN,164,,04/01/2017,03/31/2018
MT,Emergency Department,Average time patients spent in the emergency department before being sent home A lower number of minutes is better (high),OP_18b_VERY_HIGH_MIN,Not Available,5 - Results are not available for this reporting period.,04/01/2017,03/31/2018
NH,Emergency Department,Average time patients spent in the emergency department before being sent home A lower number of minutes is better (high),OP_18b_VERY_HIGH_MIN,Not Available,5 - Results are not available for this reporting period.,04/01/2017,03/31/2018
OK,Emergency Department,Average time patients spent in the emergency department before being sent home A lower number of minutes is better (high),OP_18b_VERY_HIGH_MIN,131,,04/01/2017,03/31/2018
TN,Emergency Department,Average time patients spent in the emergency department before being sent home A lower number of minutes is better (high),OP_18b_VERY_HIGH_MIN,160,,04/01/2017,03/31/2018
AK,Heart Attack or Chest Pain,Median Time to Fibrinolysis,OP_1,47,,04/01/2017,03/31/2018
