State,Measure Name,Measure ID,Score,Footnote,Measure Start Date,Measure End Date
KY,SSI - Abdominal Hysterectomy,HAI_4_SIR,0.942,,04/01/2017,03/31/2018
MA,SSI - Abdominal Hysterectomy,HAI_4_SIR,1.152,,04/01/2017,03/31/2018
MD,SSI - Abdominal Hysterectomy,HAI_4_SIR,1.389,,04/01/2017,03/31/2018
NE,SSI - Abdominal Hysterectomy,HAI_4_SIR,0.492,,04/01/2017,03/31/2018
OH,SSI - Abdominal Hysterectomy,HAI_4_SIR,0.779,,04/01/2017,03/31/2018
PA,SSI - Abdominal Hysterectomy,HAI_4_SIR,0.920,,04/01/2017,03/31/2018
PR,SSI - Abdominal Hysterectomy,HAI_4_SIR,Not Available,5 - Results are not available for this reporting period.,04/01/2017,03/31/2018
SD,SSI - Abdominal Hysterectomy,HAI_4_SIR,0.927,,04/01/2017,03/31/2018
AK,SSI - Abdominal Hysterectomy: Upper Confidence Limit,HAI_4_CI_UPPER,2.548,,04/01/2017,03/31/2018
AS,SSI - Abdominal Hysterectomy: Upper Confidence Limit,HAI_4_CI_UPPER,Not Available,5 - Results are not available for this reporting period.,04/01/2017,03/31/2018
KY,SSI - Abdominal Hysterectomy: Upper Confidence Limit,HAI_4_CI_UPPER,1.242,,04/01/2017,03/31/2018
MA,SSI - Abdominal Hysterectomy: Upper Confidence Limit,HAI_4_CI_UPPER,1.548,,04/01/2017,03/31/2018
MD,SSI - Abdominal Hysterectomy: Upper Confidence Limit,HAI_4_CI_UPPER,1.791,,04/01/2017,03/31/2018
NE,SSI - Abdominal Hysterectomy: Upper Confidence Limit,HAI_4_CI_UPPER,0.934,,04/01/2017,03/31/2018
OH,SSI - Abdominal Hysterectomy: Upper Confidence Limit,HAI_4_CI_UPPER,0.961,,04/01/2017,03/31/2018
PA,SSI - Abdominal Hysterectomy: Upper Confidence Limit,HAI_4_CI_UPPER,1.135,,04/01/2017,03/31/2018
PR,SSI - Abdominal Hysterectomy: Upper Confidence Limit,HAI_4_CI_UPPER,Not Available,5 - Results are not available for this reporting period.,04/01/2017,03/31/2018
SD,SSI - Abdominal Hysterectomy: Upper Confidence Limit,HAI_4_CI_UPPER,1.761,,04/01/2017,03/31/2018
AK,SSI - Abdominal Hysterectomy: Lower Confidence Limit,HAI_4_CI_LOWER,0.497,,04/01/2017,03/31/2018
AS,SSI - Abdominal Hysterectomy: Lower Confidence Limit,HAI_4_CI_LOWER,Not Available,5 - Results are not available for this reporting period.,04/01/2017,03/31/2018
KY,SSI - Abdominal Hysterectomy: Lower Confidence Limit,HAI_4_CI_LOWER,0.700,,04/01/2017,03/31/2018
MA,SSI - Abdominal Hysterectomy: Lower Confidence Limit,HAI_4_CI_LOWER,0.838,,04/01/2017,03/31/2018
MD,SSI - Abdominal Hysterectomy: Lower Confidence Limit,HAI_4_CI_LOWER,1.059,,04/01/2017,03/31/2018
NE,SSI - Abdominal Hysterectomy: Lower Confidence Limit,HAI_4_CI_LOWER,0.228,,04/01/2017,03/31/2018
OH,SSI - Abdominal Hysterectomy: Lower Confidence Limit,HAI_4_CI_LOWER,0.623,,04/01/2017,03/31/2018
PA,SSI - Abdominal Hysterectomy: Lower Confidence Limit,HAI_4_CI_LOWER,0.738,,04/01/2017,03/31/2018
PR,SSI - Abdominal Hysterectomy: Lower Confidence Limit,HAI_4_CI_LOWER,Not Available,5 - Results are not available for this reporting period.,04/01/2017,03/31/2018
SD,SSI - Abdominal Hysterectomy: Lower Confidence Limit,HAI_4_CI_LOWER,0.431,,04/01/2017,03/31/2018
AK,MRSA Bacteremia,HAI_5_SIR,0.617,,04/01/2017,03/31/2018
AS,MRSA Bacteremia,HAI_5_SIR,Not Available,5 - Results are not available for this reporting period.,04/01/2017,03/31/2018
KY,MRSA Bacteremia,HAI_5_SIR,0.950,,04/01/2017,03/31/2018
MA,MRSA Bacteremia,HAI_5_SIR,0.716,,04/01/2017,03/31/2018
MD,MRSA Bacteremia,HAI_5_SIR,0.998,,04/01/2017,03/31/2018
NE,MRSA Bacteremia,HAI_5_SIR,0.745,,04/01/2017,03/31/2018
OH,MRSA Bacteremia,HAI_5_SIR,0.924,,04/01/2017,03/31/2018
PA,MRSA Bacteremia,HAI_5_SIR,0.785,,04/01/2017,03/31/2018
PR,MRSA Bacteremia,HAI_5_SIR,0.463,,04/01/2017,03/31/2018
SD,MRSA Bacteremia,HAI_5_SIR,0.519,,04/01/2017,03/31/2018
AK,MRSA Bacteremia: Upper Confidence Limit,HAI_5_CI_UPPER,1.133,,04/01/2017,03/31/2018
AS,MRSA Bacteremia: Upper Confidence Limit,HAI_5_CI_UPPER,Not Available,5 - Results are not available for this reporting period.,04/01/2017,03/31/2018
KY,MRSA Bacteremia: Upper Confidence Limit,HAI_5_CI_UPPER,1.096,,04/01/2017,03/31/2018
MA,MRSA Bacteremia: Upper Confidence Limit,HAI_5_CI_UPPER,0.836,,04/01/2017,03/31/2018
MD,MRSA Bacteremia: Upper Confidence Limit,HAI_5_CI_UPPER,1.151,,04/01/2017,03/31/2018
NE,MRSA Bacteremia: Upper Confidence Limit,HAI_5_CI_UPPER,1.008,,04/01/2017,03/31/2018
OH,MRSA Bacteremia: Upper Confidence Limit,HAI_5_CI_UPPER,1.022,,04/01/2017,03/31/2018
PA,MRSA Bacteremia: Upper Confidence Limit,HAI_5_CI_UPPER,0.870,,04/01/2017,03/31/2018
PR,MRSA Bacteremia: Upper Confidence Limit,HAI_5_CI_UPPER,1.261,,04/01/2017,03/31/2018
SD,MRSA Bacteremia: Upper Confidence Limit,HAI_5_CI_UPPER,0.866,,04/01/2017,03/31/2018
AK,MRSA Bacteremia: Lower Confidence Limit,HAI_5_CI_LOWER,0.301,,04/01/2017,03/31/2018
AS,MRSA Bacteremia: Lower Confidence Limit,HAI_5_CI_LOWER,Not Available,5 - Results are not available for this reporting period.,04/01/2017,03/31/2018
KY,MRSA Bacteremia: Lower Confidence Limit,HAI_5_CI_LOWER,0.819,,04/01/2017,03/31/2018
MA,MRSA Bacteremia: Lower Confidence Limit,HAI_5_CI_LOWER,0.610,,04/01/2017,03/31/2018
MD,MRSA Bacteremia: Lower Confidence Limit,HAI_5_CI_LOWER,0.860,,04/01/2017,03/31/2018
NE,MRSA Bacteremia: Lower Confidence Limit,HAI_5_CI_LOWER,0.537,,04/01/2017,03/31/2018
OH,MRSA Bacteremia: Lower Confidence Limit,HAI_5_CI_LOWER,0.833,,04/01/2017,03/31/2018
PA,MRSA Bacteremia: Lower Confidence Limit,HAI_5_CI_LOWER,0.707,,04/01/2017,03/31/2018
PR,MRSA Bacteremia: Lower Confidence Limit,HAI_5_CI_LOWER,0.118,,04/01/2017,03/31/2018
SD,MRSA Bacteremia: Lower Confidence Limit,HAI_5_CI_LOWER,0.289,,04/01/2017,03/31/2018
AK,Clostridium Difficile (C.Diff),HAI_6_SIR,0.847,,04/01/2017,03/31/2018
AS,Clostridium Difficile (C.Diff),HAI_6_SIR,Not Available,5 - Results are not available for this reporting period.,04/01/2017,03/31/2018
KY,Clostridium Difficile (C.Diff),HAI_6_SIR,0.737,,04/01/2017,03/31/2018
MA,Clostridium Difficile (C.Diff),HAI_6_SIR,0.856,,04/01/2017,03/31/2018
MD,Clostridium Difficile (C.Diff),HAI_6_SIR,0.919,,04/01/2017,03/31/2018
NE,Clostridium Difficile (C.Diff),HAI_6_SIR,0.864,,04/01/2017,03/31/2018
OH,Clostridium Difficile (C.Diff),HAI_6_SIR,0.818,,04/01/2017,03/31/2018
PA,Clostridium Difficile (C.Diff),HAI_6_SIR,0.823,,04/01/2017,03/31/2018
PR,Clostridium Difficile (C.Diff),HAI_6_SIR,0.380,,04/01/2017,03/31/2018
SD,Clostridium Difficile (C.Diff),HAI_6_SIR,0.690,,04/01/2017,03/31/2018
AK,Clostridium Difficile (C.Diff): Upper Confidence Limit,HAI_6_CI_UPPER,1.003,,04/01/2017,03/31/2018
AS,Clostridium Difficile (C.Diff): Upper Confidence Limit,HAI_6_CI_UPPER,Not Available,5 - Results are not available for this reporting period.,04/01/2017,03/31/2018
KY,Clostridium Difficile (C.Diff): Upper Confidence Limit,HAI_6_CI_UPPER,0.778,,04/01/2017,03/31/2018
MA,Clostridium Difficile (C.Diff): Upper Confidence Limit,HAI_6_CI_UPPER,0.894,,04/01/2017,03/31/2018
MD,Clostridium Difficile (C.Diff): Upper Confidence Limit,HAI_6_CI_UPPER,0.963,,04/01/2017,03/31/2018
IA,SSI - Colon Surgery,HAI_3_SIR,0.954,,04/01/2017,03/31/2018
NE,Clostridium Difficile (C.Diff): Upper Confidence Limit,HAI_6_CI_UPPER,0.946,,04/01/2017,03/31/2018
OH,Clostridium Difficile (C.Diff): Upper Confidence Limit,HAI_6_CI_UPPER,0.845,,04/01/2017,03/31/2018
PA,Clostridium Difficile (C.Diff): Upper Confidence Limit,HAI_6_CI_UPPER,0.848,,04/01/2017,03/31/2018
PR,Clostridium Difficile (C.Diff): Upper Confidence Limit,HAI_6_CI_UPPER,0.539,,04/01/2017,03/31/2018
SD,Clostridium Difficile (C.Diff): Upper Confidence Limit,HAI_6_CI_UPPER,0.787,,04/01/2017,03/31/2018
AK,Clostridium Difficile (C.Diff): Lower Confidence Limit,HAI_6_CI_LOWER,0.710,,04/01/2017,03/31/2018
AS,Clostridium Difficile (C.Diff): Lower Confidence Limit,HAI_6_CI_LOWER,Not Available,5 - Results are not available for this reporting period.,04/01/2017,03/31/2018
KY,Clostridium Difficile (C.Diff): Lower Confidence Limit,HAI_6_CI_LOWER,0.697,,04/01/2017,03/31/2018
MA,Clostridium Difficile (C.Diff): Lower Confidence Limit,HAI_6_CI_LOWER,0.820,,04/01/2017,03/31/2018
MD,Clostridium Difficile (C.Diff): Lower Confidence Limit,HAI_6_CI_LOWER,0.877,,04/01/2017,03/31/2018
NE,Clostridium Difficile (C.Diff): Lower Confidence Limit,HAI_6_CI_LOWER,0.788,,04/01/2017,03/31/2018
OH,Clostridium Difficile (C.Diff): Lower Confidence Limit,HAI_6_CI_LOWER,0.791,,04/01/2017,03/31/2018
PA,Clostridium Difficile (C.Diff): Lower Confidence Limit,HAI_6_CI_LOWER,0.798,,04/01/2017,03/31/2018
PR,Clostridium Difficile (C.Diff): Lower Confidence Limit,HAI_6_CI_LOWER,0.259,,04/01/2017,03/31/2018
SD,Clostridium Difficile (C.Diff): Lower Confidence Limit,HAI_6_CI_LOWER,0.602,,04/01/2017,03/31/2018
AR,Central Line Associated Bloodstream Infection (ICU + select Wards),HAI_1_SIR,1.098,,04/01/2017,03/31/2018
HI,Central Line Associated Bloodstream Infection (ICU + select Wards),HAI_1_SIR,0.311,,04/01/2017,03/31/2018
MN,Central Line Associated Bloodstream Infection (ICU + select Wards),HAI_1_SIR,0.763,,04/01/2017,03/31/2018
NJ,Central Line Associated Bloodstream Infection (ICU + select Wards),HAI_1_SIR,0.695,,04/01/2017,03/31/2018
OK,Central Line Associated Bloodstream Infection (ICU + select Wards),HAI_1_SIR,0.765,,04/01/2017,03/31/2018
OR,Central Line Associated Bloodstream Infection (ICU + select Wards),HAI_1_SIR,0.642,,04/01/2017,03/31/2018
WA,Central Line Associated Bloodstream Infection (ICU + select Wards),HAI_1_SIR,0.630,,04/01/2017,03/31/2018
WI,Central Line Associated Bloodstream Infection (ICU + select Wards),HAI_1_SIR,0.728,,04/01/2017,03/31/2018
AR,Central Line Associated Bloodstream Infection (ICU + select Wards): Upper Confidence Limit,HAI_1_CI_UPPER,1.251,,04/01/2017,03/31/2018
HI,Central Line Associated Bloodstream Infection (ICU + select Wards): Upper Confidence Limit,HAI_1_CI_UPPER,0.459,,04/01/2017,03/31/2018
MN,Central Line Associated Bloodstream Infection (ICU + select Wards): Upper Confidence Limit,HAI_1_CI_UPPER,0.874,,04/01/2017,03/31/2018
NJ,Central Line Associated Bloodstream Infection (ICU + select Wards): Upper Confidence Limit,HAI_1_CI_UPPER,0.777,,04/01/2017,03/31/2018
OK,Central Line Associated Bloodstream Infection (ICU + select Wards): Upper Confidence Limit,HAI_1_CI_UPPER,0.867,,04/01/2017,03/31/2018
OR,Central Line Associated Bloodstream Infection (ICU + select Wards): Upper Confidence Limit,HAI_1_CI_UPPER,0.781,,04/01/2017,03/31/2018
WA,Central Line Associated Bloodstream Infection (ICU + select Wards): Upper Confidence Limit,HAI_1_CI_UPPER,0.717,,04/01/2017,03/31/2018
WI,Central Line Associated Bloodstream Infection (ICU + select Wards): Upper Confidence Limit,HAI_1_CI_UPPER,0.832,,04/01/2017,03/31/2018
AR,Central Line Associated Bloodstream Infection (ICU + select Wards): Lower Confidence Limit,HAI_1_CI_LOWER,0.959,,04/01/2017,03/31/2018
HI,Central Line Associated Bloodstream Infection (ICU + select Wards): Lower Confidence Limit,HAI_1_CI_LOWER,0.202,,04/01/2017,03/31/2018
MN,Central Line Associated Bloodstream Infection (ICU + select Wards): Lower Confidence Limit,HAI_1_CI_LOWER,0.663,,04/01/2017,03/31/2018
NJ,Central Line Associated Bloodstream Infection (ICU + select Wards): Lower Confidence Limit,HAI_1_CI_LOWER,0.619,,04/01/2017,03/31/2018
OK,Central Line Associated Bloodstream Infection (ICU + select Wards): Lower Confidence Limit,HAI_1_CI_LOWER,0.672,,04/01/2017,03/31/2018
OR,Central Line Associated Bloodstream Infection (ICU + select Wards): Lower Confidence Limit,HAI_1_CI_LOWER,0.523,,04/01/2017,03/31/2018
WA,Central Line Associated Bloodstream Infection (ICU + select Wards): Lower Confidence Limit,HAI_1_CI_LOWER,0.551,,04/01/2017,03/31/2018
WI,Central Line Associated Bloodstream Infection (ICU + select Wards): Lower Confidence Limit,HAI_1_CI_LOWER,0.634,,04/01/2017,03/31/2018
AR,Catheter Associated Urinary Tract Infections (ICU + select Wards),HAI_2_SIR,1.150,,04/01/2017,03/31/2018
HI,Catheter Associated Urinary Tract Infections (ICU + select Wards),HAI_2_SIR,0.884,,04/01/2017,03/31/2018
MN,Catheter Associated Urinary Tract Infections (ICU + select Wards),HAI_2_SIR,0.784,,04/01/2017,03/31/2018
NJ,Catheter Associated Urinary Tract Infections (ICU + select Wards),HAI_2_SIR,0.910,,04/01/2017,03/31/2018
OK,Catheter Associated Urinary Tract Infections (ICU + select Wards),HAI_2_SIR,0.715,,04/01/2017,03/31/2018
OR,Catheter Associated Urinary Tract Infections (ICU + select Wards),HAI_2_SIR,0.940,,04/01/2017,03/31/2018
WA,Catheter Associated Urinary Tract Infections (ICU + select Wards),HAI_2_SIR,1.077,,04/01/2017,03/31/2018
WI,Catheter Associated Urinary Tract Infections (ICU + select Wards),HAI_2_SIR,0.932,,04/01/2017,03/31/2018
AR,Catheter Associated Urinary Tract Infections (ICU + select Wards): Upper Confidence Limit,HAI_2_CI_UPPER,1.294,,04/01/2017,03/31/2018
HI,Catheter Associated Urinary Tract Infections (ICU + select Wards): Upper Confidence Limit,HAI_2_CI_UPPER,1.117,,04/01/2017,03/31/2018
MN,Catheter Associated Urinary Tract Infections (ICU + select Wards): Upper Confidence Limit,HAI_2_CI_UPPER,0.888,,04/01/2017,03/31/2018
NJ,Catheter Associated Urinary Tract Infections (ICU + select Wards): Upper Confidence Limit,HAI_2_CI_UPPER,0.998,,04/01/2017,03/31/2018
OK,Catheter Associated Urinary Tract Infections (ICU + select Wards): Upper Confidence Limit,HAI_2_CI_UPPER,0.810,,04/01/2017,03/31/2018
OR,Catheter Associated Urinary Tract Infections (ICU + select Wards): Upper Confidence Limit,HAI_2_CI_UPPER,1.086,,04/01/2017,03/31/2018
WA,Catheter Associated Urinary Tract Infections (ICU + select Wards): Upper Confidence Limit,HAI_2_CI_UPPER,1.186,,04/01/2017,03/31/2018
