State,Measure Name,Measure ID,Number of Hospitals Worse,Number of Hospitals Same,Number of Hospitals Better,Number of Hospitals Too Few,Footnote,Measure Start Date,Measure End Date
AS,Rate of complications for hip/knee replacement patients,COMP_HIP_KNEE,Not Available,Not Available,Not Available,Not Available,5 - Results are not available for this reporting period.,04/01/2014,03/31/2017
AS,Patient Safety and Adverse Events Composite,PSI_90_SAFETY,Not Available,Not Available,Not Available,Not Available,5 - Results are not available for this reporting period.,10/01/2015,06/30/2017
AS,"Iatrogenic pneumothorax, adult Rate",PSI_6_IAT_PTX,Not Available,Not Available,Not Available,Not Available,5 - Results are not available for this reporting period.,10/01/2015,06/30/2017
AS,Perioperative Pulmonary Embolism (PE) or Deep Vein Thrombosis (DVT) Rate,PSI_12_POSTOP_PULMEMB_DVT,Not Available,Not Available,Not Available,Not Available,5 - Results are not available for this reporting period.,10/01/2015,06/30/2017
AS,Postoperative Wound Dehiscence Rate,PSI_14_POSTOP_DEHIS,Not Available,Not Available,Not Available,Not Available,5 - Results are not available for this reporting period.,10/01/2015,06/30/2017
AS,Unrecognized Abdominopelvic Accidental Puncture/Laceration Rate,PSI_15_ACC_LAC,Not Available,Not Available,Not Available,Not Available,5 - Results are not available for this reporting period.,10/01/2015,06/30/2017
AS,Death among surgical inpatients with serious treatable complications Rate,PSI_4_SURG_COMP,Not Available,Not Available,Not Available,Not Available,5 - Results are not available for this reporting period.,10/01/2015,06/30/2017
AS,Pressure Ulcer Rate,PSI_3_ULCER,Not Available,Not Available,Not Available,Not Available,5 - Results are not available for this reporting period.,10/01/2015,06/30/2017
AS,In-Hospital Fall With Hip Fracture Rate,PSI_8_POST_HIP,Not Available,Not Available,Not Available,Not Available,5 - Results are not available for this reporting period.,10/01/2015,06/30/2017
AS,Postoperative Sepsis Rate,PSI_13_POST_SEPSIS,Not Available,Not Available,Not Available,Not Available,5 - Results are not available for this reporting period.,10/01/2015,06/30/2017
AS,Perioperative Hemorrhage or Hematoma Rate,PSI_9_POST_HEM,Not Available,Not Available,Not Available,Not Available,5 - Results are not available for this reporting period.,10/01/2015,06/30/2017
AS,Postoperative Acute Kidney Injury Requiring Dialysis Rate,PSI_10_POST_KIDNEY,Not Available,Not Available,Not Available,Not Available,5 - Results are not available for this reporting period.,10/01/2015,06/30/2017
AS,Postoperative Respiratory Failure Rate,PSI_11_POST_RESP,Not Available,Not Available,Not Available,Not Available,5 - Results are not available for this reporting period.,10/01/2015,06/30/2017
KY,Death rate for heart attack patients,MORT_30_AMI,1,47,0,42,,07/01/2014,06/30/2017
KY,Death rate for heart failure patients,MORT_30_HF,5,73,2,15,,07/01/2014,06/30/2017
KY,Death rate for pneumonia patients,MORT_30_PN,10,83,0,3,,07/01/2014,06/30/2017
KY,Death rate for COPD patients,MORT_30_COPD,2,85,0,6,,07/01/2014,06/30/2017
KY,Death rate for stroke patients,MORT_30_STK,3,39,1,47,,07/01/2014,06/30/2017
KY,Death rate for CABG surgery patients,MORT_30_CABG,1,15,0,1,,07/01/2014,06/30/2017
KY,Rate of complications for hip/knee replacement patients,COMP_HIP_KNEE,0,42,0,15,,04/01/2014,03/31/2017
KY,Patient Safety and Adverse Events Composite,PSI_90_SAFETY,5,58,1,Not Available,,10/01/2015,06/30/2017
KY,"Iatrogenic pneumothorax, adult Rate",PSI_6_IAT_PTX,0,64,0,0,,10/01/2015,06/30/2017
KY,Perioperative Pulmonary Embolism (PE) or Deep Vein Thrombosis (DVT) Rate,PSI_12_POSTOP_PULMEMB_DVT,3,57,0,2,,10/01/2015,06/30/2017
KY,Postoperative Wound Dehiscence Rate,PSI_14_POSTOP_DEHIS,0,57,0,5,,10/01/2015,06/30/2017
KY,Unrecognized Abdominopelvic Accidental Puncture/Laceration Rate,PSI_15_ACC_LAC,0,62,0,1,,10/01/2015,06/30/2017
KY,Death among surgical inpatients with serious treatable complications Rate,PSI_4_SURG_COMP,0,30,0,24,,10/01/2015,06/30/2017
KY,Pressure Ulcer Rate,PSI_3_ULCER,3,60,1,0,,10/01/2015,06/30/2017
KY,In-Hospital Fall With Hip Fracture Rate,PSI_8_POST_HIP,0,64,0,0,,10/01/2015,06/30/2017
KY,Postoperative Sepsis Rate,PSI_13_POST_SEPSIS,2,40,0,8,,10/01/2015,06/30/2017
KY,Perioperative Hemorrhage or Hematoma Rate,PSI_9_POST_HEM,1,59,0,2,,10/01/2015,06/30/2017
KY,Postoperative Acute Kidney Injury Requiring Dialysis Rate,PSI_10_POST_KIDNEY,0,44,0,6,,10/01/2015,06/30/2017
KY,Postoperative Respiratory Failure Rate,PSI_11_POST_RESP,9,35,0,6,,10/01/2015,06/30/2017
MA,Death rate for heart attack patients,MORT_30_AMI,0,45,5,11,,07/01/2014,06/30/2017
MA,Death rate for heart failure patients,MORT_30_HF,0,46,13,3,,07/01/2014,06/30/2017
MA,Death rate for pneumonia patients,MORT_30_PN,1,42,17,3,,07/01/2014,06/30/2017
MA,Death rate for COPD patients,MORT_30_COPD,0,47,9,6,,07/01/2014,06/30/2017
MA,Death rate for stroke patients,MORT_30_STK,0,49,2,10,,07/01/2014,06/30/2017
MA,Death rate for CABG surgery patients,MORT_30_CABG,0,13,1,0,,07/01/2014,06/30/2017
MA,Rate of complications for hip/knee replacement patients,COMP_HIP_KNEE,0,54,1,2,,04/01/2014,03/31/2017
MA,Patient Safety and Adverse Events Composite,PSI_90_SAFETY,2,49,4,Not Available,,10/01/2015,06/30/2017
MA,"Iatrogenic pneumothorax, adult Rate",PSI_6_IAT_PTX,0,55,0,0,,10/01/2015,06/30/2017
MA,Perioperative Pulmonary Embolism (PE) or Deep Vein Thrombosis (DVT) Rate,PSI_12_POSTOP_PULMEMB_DVT,1,50,2,1,,10/01/2015,06/30/2017
MA,Postoperative Wound Dehiscence Rate,PSI_14_POSTOP_DEHIS,0,51,0,2,,10/01/2015,06/30/2017
MA,Unrecognized Abdominopelvic Accidental Puncture/Laceration Rate,PSI_15_ACC_LAC,1,51,0,2,,10/01/2015,06/30/2017
MA,Death among surgical inpatients with serious treatable complications Rate,PSI_4_SURG_COMP,0,41,0,12,,10/01/2015,06/30/2017
MA,Pressure Ulcer Rate,PSI_3_ULCER,7,48,0,0,,10/01/2015,06/30/2017
MA,In-Hospital Fall With Hip Fracture Rate,PSI_8_POST_HIP,0,55,0,0,,10/01/2015,06/30/2017
MA,Postoperative Sepsis Rate,PSI_13_POST_SEPSIS,0,51,1,1,,10/01/2015,06/30/2017
MA,Perioperative Hemorrhage or Hematoma Rate,PSI_9_POST_HEM,1,51,1,1,,10/01/2015,06/30/2017
MA,Postoperative Acute Kidney Injury Requiring Dialysis Rate,PSI_10_POST_KIDNEY,1,51,0,1,,10/01/2015,06/30/2017
MA,Postoperative Respiratory Failure Rate,PSI_11_POST_RESP,0,50,2,1,,10/01/2015,06/30/2017
MD,Death rate for heart attack patients,MORT_30_AMI,0,40,1,5,,07/01/2014,06/30/2017
MD,Death rate for heart failure patients,MORT_30_HF,2,38,6,2,,07/01/2014,06/30/2017
MD,Death rate for pneumonia patients,MORT_30_PN,5,40,1,2,,07/01/2014,06/30/2017
MD,Death rate for COPD patients,MORT_30_COPD,5,40,0,1,,07/01/2014,06/30/2017
MD,Death rate for stroke patients,MORT_30_STK,2,38,3,2,,07/01/2014,06/30/2017
MD,Death rate for CABG surgery patients,MORT_30_CABG,0,9,1,2,,07/01/2014,06/30/2017
MD,Rate of complications for hip/knee replacement patients,COMP_HIP_KNEE,2,37,3,3,,04/01/2014,03/31/2017
MD,Patient Safety and Adverse Events Composite,PSI_90_SAFETY,4,40,3,Not Available,,10/01/2015,06/30/2017
MD,"Iatrogenic pneumothorax, adult Rate",PSI_6_IAT_PTX,0,47,0,0,,10/01/2015,06/30/2017
MD,Perioperative Pulmonary Embolism (PE) or Deep Vein Thrombosis (DVT) Rate,PSI_12_POSTOP_PULMEMB_DVT,2,42,1,1,,10/01/2015,06/30/2017
MD,Postoperative Wound Dehiscence Rate,PSI_14_POSTOP_DEHIS,1,43,0,1,,10/01/2015,06/30/2017
MD,Unrecognized Abdominopelvic Accidental Puncture/Laceration Rate,PSI_15_ACC_LAC,0,45,0,2,,10/01/2015,06/30/2017
MD,Death among surgical inpatients with serious treatable complications Rate,PSI_4_SURG_COMP,1,37,0,6,,10/01/2015,06/30/2017
MD,Pressure Ulcer Rate,PSI_3_ULCER,5,42,0,0,,10/01/2015,06/30/2017
MD,In-Hospital Fall With Hip Fracture Rate,PSI_8_POST_HIP,0,47,0,0,,10/01/2015,06/30/2017
MD,Postoperative Sepsis Rate,PSI_13_POST_SEPSIS,0,42,3,1,,10/01/2015,06/30/2017
MD,Perioperative Hemorrhage or Hematoma Rate,PSI_9_POST_HEM,0,45,0,1,,10/01/2015,06/30/2017
MD,Postoperative Acute Kidney Injury Requiring Dialysis Rate,PSI_10_POST_KIDNEY,0,45,0,1,,10/01/2015,06/30/2017
MD,Postoperative Respiratory Failure Rate,PSI_11_POST_RESP,0,42,3,1,,10/01/2015,06/30/2017
NE,Death rate for heart attack patients,MORT_30_AMI,0,20,0,53,,07/01/2014,06/30/2017
NE,Death rate for heart failure patients,MORT_30_HF,2,41,0,41,,07/01/2014,06/30/2017
NE,Death rate for pneumonia patients,MORT_30_PN,1,73,0,11,,07/01/2014,06/30/2017
NE,Death rate for COPD patients,MORT_30_COPD,0,45,0,37,,07/01/2014,06/30/2017
NE,Death rate for stroke patients,MORT_30_STK,0,22,0,57,,07/01/2014,06/30/2017
NE,Death rate for CABG surgery patients,MORT_30_CABG,0,8,0,1,,07/01/2014,06/30/2017
NE,Rate of complications for hip/knee replacement patients,COMP_HIP_KNEE,0,43,0,11,,04/01/2014,03/31/2017
NE,Patient Safety and Adverse Events Composite,PSI_90_SAFETY,4,19,0,Not Available,,10/01/2015,06/30/2017
NE,"Iatrogenic pneumothorax, adult Rate",PSI_6_IAT_PTX,2,21,0,0,,10/01/2015,06/30/2017
NE,Perioperative Pulmonary Embolism (PE) or Deep Vein Thrombosis (DVT) Rate,PSI_12_POSTOP_PULMEMB_DVT,0,23,0,0,,10/01/2015,06/30/2017
NE,Postoperative Wound Dehiscence Rate,PSI_14_POSTOP_DEHIS,0,21,0,1,,10/01/2015,06/30/2017
NE,Unrecognized Abdominopelvic Accidental Puncture/Laceration Rate,PSI_15_ACC_LAC,0,22,0,1,,10/01/2015,06/30/2017
NE,Death among surgical inpatients with serious treatable complications Rate,PSI_4_SURG_COMP,0,15,0,5,,10/01/2015,06/30/2017
NE,Pressure Ulcer Rate,PSI_3_ULCER,2,21,0,0,,10/01/2015,06/30/2017
NE,In-Hospital Fall With Hip Fracture Rate,PSI_8_POST_HIP,0,23,0,0,,10/01/2015,06/30/2017
NE,Postoperative Sepsis Rate,PSI_13_POST_SEPSIS,0,23,0,0,,10/01/2015,06/30/2017
NE,Perioperative Hemorrhage or Hematoma Rate,PSI_9_POST_HEM,1,21,1,0,,10/01/2015,06/30/2017
NE,Postoperative Acute Kidney Injury Requiring Dialysis Rate,PSI_10_POST_KIDNEY,1,22,0,0,,10/01/2015,06/30/2017
NE,Postoperative Respiratory Failure Rate,PSI_11_POST_RESP,5,17,1,0,,10/01/2015,06/30/2017
OH,Death rate for heart attack patients,MORT_30_AMI,0,93,3,57,,07/01/2014,06/30/2017
OH,Death rate for heart failure patients,MORT_30_HF,4,127,15,11,,07/01/2014,06/30/2017
OH,Death rate for pneumonia patients,MORT_30_PN,2,137,12,10,,07/01/2014,06/30/2017
OH,Death rate for COPD patients,MORT_30_COPD,2,141,3,10,,07/01/2014,06/30/2017
OH,Death rate for stroke patients,MORT_30_STK,0,99,2,49,,07/01/2014,06/30/2017
OH,Death rate for CABG surgery patients,MORT_30_CABG,0,47,1,11,,07/01/2014,06/30/2017
OH,Rate of complications for hip/knee replacement patients,COMP_HIP_KNEE,0,131,3,16,,04/01/2014,03/31/2017
OH,Patient Safety and Adverse Events Composite,PSI_90_SAFETY,2,124,2,Not Available,,10/01/2015,06/30/2017
OH,"Iatrogenic pneumothorax, adult Rate",PSI_6_IAT_PTX,1,126,0,1,,10/01/2015,06/30/2017
OH,Perioperative Pulmonary Embolism (PE) or Deep Vein Thrombosis (DVT) Rate,PSI_12_POSTOP_PULMEMB_DVT,1,121,1,1,,10/01/2015,06/30/2017
OH,Postoperative Wound Dehiscence Rate,PSI_14_POSTOP_DEHIS,0,115,0,6,,10/01/2015,06/30/2017
OH,Unrecognized Abdominopelvic Accidental Puncture/Laceration Rate,PSI_15_ACC_LAC,1,117,0,4,,10/01/2015,06/30/2017
OH,Death among surgical inpatients with serious treatable complications Rate,PSI_4_SURG_COMP,0,65,3,43,,10/01/2015,06/30/2017
OH,Pressure Ulcer Rate,PSI_3_ULCER,5,121,0,0,,10/01/2015,06/30/2017
OH,In-Hospital Fall With Hip Fracture Rate,PSI_8_POST_HIP,0,127,0,1,,10/01/2015,06/30/2017
OH,Postoperative Sepsis Rate,PSI_13_POST_SEPSIS,1,117,2,3,,10/01/2015,06/30/2017
OH,Perioperative Hemorrhage or Hematoma Rate,PSI_9_POST_HEM,0,121,2,1,,10/01/2015,06/30/2017
OH,Postoperative Acute Kidney Injury Requiring Dialysis Rate,PSI_10_POST_KIDNEY,2,118,0,3,,10/01/2015,06/30/2017
OH,Postoperative Respiratory Failure Rate,PSI_11_POST_RESP,4,111,5,3,,10/01/2015,06/30/2017
PA,Death rate for heart attack patients,MORT_30_AMI,0,116,4,41,,07/01/2014,06/30/2017
PA,Death rate for heart failure patients,MORT_30_HF,5,141,8,9,,07/01/2014,06/30/2017
PA,Death rate for pneumonia patients,MORT_30_PN,7,147,5,4,,07/01/2014,06/30/2017
PA,Death rate for COPD patients,MORT_30_COPD,3,148,0,5,,07/01/2014,06/30/2017
PA,Death rate for stroke patients,MORT_30_STK,1,113,1,40,,07/01/2014,06/30/2017
PA,Death rate for CABG surgery patients,MORT_30_CABG,0,52,1,7,,07/01/2014,06/30/2017
PA,Rate of complications for hip/knee replacement patients,COMP_HIP_KNEE,2,126,3,19,,04/01/2014,03/31/2017
PA,Patient Safety and Adverse Events Composite,PSI_90_SAFETY,7,134,9,Not Available,,10/01/2015,06/30/2017
PA,"Iatrogenic pneumothorax, adult Rate",PSI_6_IAT_PTX,0,149,0,1,,10/01/2015,06/30/2017
PA,Perioperative Pulmonary Embolism (PE) or Deep Vein Thrombosis (DVT) Rate,PSI_12_POSTOP_PULMEMB_DVT,9,132,1,5,,10/01/2015,06/30/2017
PA,Postoperative Wound Dehiscence Rate,PSI_14_POSTOP_DEHIS,1,129,0,13,,10/01/2015,06/30/2017
PA,Unrecognized Abdominopelvic Accidental Puncture/Laceration Rate,PSI_15_ACC_LAC,2,135,0,7,,10/01/2015,06/30/2017
PA,Death among surgical inpatients with serious treatable complications Rate,PSI_4_SURG_COMP,3,69,0,51,,10/01/2015,06/30/2017
PA,Pressure Ulcer Rate,PSI_3_ULCER,9,139,1,0,,10/01/2015,06/30/2017
PA,In-Hospital Fall With Hip Fracture Rate,PSI_8_POST_HIP,0,149,0,1,,10/01/2015,06/30/2017
PA,Postoperative Sepsis Rate,PSI_13_POST_SEPSIS,2,128,2,13,,10/01/2015,06/30/2017
PA,Perioperative Hemorrhage or Hematoma Rate,PSI_9_POST_HEM,1,141,0,5,,10/01/2015,06/30/2017
PA,Postoperative Acute Kidney Injury Requiring Dialysis Rate,PSI_10_POST_KIDNEY,2,130,1,12,,10/01/2015,06/30/2017
PA,Postoperative Respiratory Failure Rate,PSI_11_POST_RESP,3,125,5,11,,10/01/2015,06/30/2017
PR,Death rate for heart attack patients,MORT_30_AMI,0,15,0,33,,07/01/2014,06/30/2017
PR,Death rate for heart failure patients,MORT_30_HF,0,23,0,27,,07/01/2014,06/30/2017
PR,Death rate for pneumonia patients,MORT_30_PN,4,25,0,22,,07/01/2014,06/30/2017
PR,Death rate for COPD patients,MORT_30_COPD,0,12,0,35,,07/01/2014,06/30/2017
PR,Death rate for stroke patients,MORT_30_STK,0,7,0,39,,07/01/2014,06/30/2017
PR,Death rate for CABG surgery patients,MORT_30_CABG,0,1,0,8,,07/01/2014,06/30/2017
PR,Rate of complications for hip/knee replacement patients,COMP_HIP_KNEE,0,6,0,27,,04/01/2014,03/31/2017
PR,Patient Safety and Adverse Events Composite,PSI_90_SAFETY,Not Available,Not Available,Not Available,Not Available,5 - Results are not available for this reporting period.,10/01/2015,06/30/2017
PR,"Iatrogenic pneumothorax, adult Rate",PSI_6_IAT_PTX,Not Available,Not Available,Not Available,Not Available,5 - Results are not available for this reporting period.,10/01/2015,06/30/2017
PR,Perioperative Pulmonary Embolism (PE) or Deep Vein Thrombosis (DVT) Rate,PSI_12_POSTOP_PULMEMB_DVT,Not Available,Not Available,Not Available,Not Available,5 - Results are not available for this reporting period.,10/01/2015,06/30/2017
PR,Postoperative Wound Dehiscence Rate,PSI_14_POSTOP_DEHIS,Not Available,Not Available,Not Available,Not Available,5 - Results are not available for this reporting period.,10/01/2015,06/30/2017
PR,Unrecognized Abdominopelvic Accidental Puncture/Laceration Rate,PSI_15_ACC_LAC,Not Available,Not Available,Not Available,Not Available,5 - Results are not available for this reporting period.,10/01/2015,06/30/2017
AR,Rate of complications for hip/knee replacement patients,COMP_HIP_KNEE,1,28,2,13,,04/01/2014,03/31/2017
PR,Death among surgical inpatients with serious treatable complications Rate,PSI_4_SURG_COMP,Not Available,Not Available,Not Available,Not Available,5 - Results are not available for this reporting period.,10/01/2015,06/30/2017
PR,Pressure Ulcer Rate,PSI_3_ULCER,Not Available,Not Available,Not Available,Not Available,5 - Results are not available for this reporting period.,10/01/2015,06/30/2017
PR,In-Hospital Fall With Hip Fracture Rate,PSI_8_POST_HIP,Not Available,Not Available,Not Available,Not Available,5 - Results are not available for this reporting period.,10/01/2015,06/30/2017
PR,Postoperative Sepsis Rate,PSI_13_POST_SEPSIS,Not Available,Not Available,Not Available,Not Available,5 - Results are not available for this reporting period.,10/01/2015,06/30/2017
PR,Perioperative Hemorrhage or Hematoma Rate,PSI_9_POST_HEM,Not Available,Not Available,Not Available,Not Available,5 - Results are not available for this reporting period.,10/01/2015,06/30/2017
PR,Postoperative Acute Kidney Injury Requiring Dialysis Rate,PSI_10_POST_KIDNEY,Not Available,Not Available,Not Available,Not Available,5 - Results are not available for this reporting period.,10/01/2015,06/30/2017
PR,Postoperative Respiratory Failure Rate,PSI_11_POST_RESP,Not Available,Not Available,Not Available,Not Available,5 - Results are not available for this reporting period.,10/01/2015,06/30/2017
SD,Death rate for heart attack patients,MORT_30_AMI,0,9,0,36,,07/01/2014,06/30/2017
SD,Death rate for heart failure patients,MORT_30_HF,0,21,0,35,,07/01/2014,06/30/2017
SD,Death rate for pneumonia patients,MORT_30_PN,0,48,0,9,,07/01/2014,06/30/2017
SD,Death rate for COPD patients,MORT_30_COPD,0,21,0,33,,07/01/2014,06/30/2017
SD,Death rate for stroke patients,MORT_30_STK,0,12,0,34,,07/01/2014,06/30/2017
SD,Death rate for CABG surgery patients,MORT_30_CABG,0,2,1,0,,07/01/2014,06/30/2017
SD,Rate of complications for hip/knee replacement patients,COMP_HIP_KNEE,0,16,0,4,,04/01/2014,03/31/2017
SD,Patient Safety and Adverse Events Composite,PSI_90_SAFETY,0,19,0,Not Available,,10/01/2015,06/30/2017
SD,"Iatrogenic pneumothorax, adult Rate",PSI_6_IAT_PTX,0,17,0,2,,10/01/2015,06/30/2017
SD,Perioperative Pulmonary Embolism (PE) or Deep Vein Thrombosis (DVT) Rate,PSI_12_POSTOP_PULMEMB_DVT,0,15,0,1,,10/01/2015,06/30/2017
SD,Postoperative Wound Dehiscence Rate,PSI_14_POSTOP_DEHIS,0,13,0,3,,10/01/2015,06/30/2017
SD,Unrecognized Abdominopelvic Accidental Puncture/Laceration Rate,PSI_15_ACC_LAC,0,15,0,1,,10/01/2015,06/30/2017
SD,Death among surgical inpatients with serious treatable complications Rate,PSI_4_SURG_COMP,0,5,0,8,,10/01/2015,06/30/2017
SD,Pressure Ulcer Rate,PSI_3_ULCER,1,16,0,1,,10/01/2015,06/30/2017
SD,In-Hospital Fall With Hip Fracture Rate,PSI_8_POST_HIP,0,17,0,2,,10/01/2015,06/30/2017
SD,Postoperative Sepsis Rate,PSI_13_POST_SEPSIS,0,14,0,2,,10/01/2015,06/30/2017
SD,Perioperative Hemorrhage or Hematoma Rate,PSI_9_POST_HEM,0,15,0,1,,10/01/2015,06/30/2017
SD,Postoperative Acute Kidney Injury Requiring Dialysis Rate,PSI_10_POST_KIDNEY,0,14,0,2,,10/01/2015,06/30/2017
SD,Postoperative Respiratory Failure Rate,PSI_11_POST_RESP,0,14,0,2,,10/01/2015,06/30/2017
AR,Death rate for heart attack patients,MORT_30_AMI,2,26,0,41,,07/01/2014,06/30/2017
AR,Death rate for heart failure patients,MORT_30_HF,8,53,0,15,,07/01/2014,06/30/2017
AR,Death rate for pneumonia patients,MORT_30_PN,11,62,0,3,,07/01/2014,06/30/2017
AR,Death rate for COPD patients,MORT_30_COPD,1,63,0,9,,07/01/2014,06/30/2017
AR,Death rate for stroke patients,MORT_30_STK,2,36,0,35,,07/01/2014,06/30/2017
AR,Death rate for CABG surgery patients,MORT_30_CABG,2,14,0,2,,07/01/2014,06/30/2017
AR,Patient Safety and Adverse Events Composite,PSI_90_SAFETY,2,40,2,Not Available,,10/01/2015,06/30/2017
AR,"Iatrogenic pneumothorax, adult Rate",PSI_6_IAT_PTX,0,44,0,0,,10/01/2015,06/30/2017
AR,Perioperative Pulmonary Embolism (PE) or Deep Vein Thrombosis (DVT) Rate,PSI_12_POSTOP_PULMEMB_DVT,0,41,1,1,,10/01/2015,06/30/2017
AR,Postoperative Wound Dehiscence Rate,PSI_14_POSTOP_DEHIS,0,37,0,5,,10/01/2015,06/30/2017
AR,Unrecognized Abdominopelvic Accidental Puncture/Laceration Rate,PSI_15_ACC_LAC,0,40,0,4,,10/01/2015,06/30/2017
AR,Death among surgical inpatients with serious treatable complications Rate,PSI_4_SURG_COMP,1,20,0,10,,10/01/2015,06/30/2017
AR,Pressure Ulcer Rate,PSI_3_ULCER,1,42,1,0,,10/01/2015,06/30/2017
AR,In-Hospital Fall With Hip Fracture Rate,PSI_8_POST_HIP,0,44,0,0,,10/01/2015,06/30/2017
AR,Postoperative Sepsis Rate,PSI_13_POST_SEPSIS,1,29,0,9,,10/01/2015,06/30/2017
AR,Perioperative Hemorrhage or Hematoma Rate,PSI_9_POST_HEM,2,40,0,1,,10/01/2015,06/30/2017
AR,Postoperative Acute Kidney Injury Requiring Dialysis Rate,PSI_10_POST_KIDNEY,0,33,0,7,,10/01/2015,06/30/2017
AR,Postoperative Respiratory Failure Rate,PSI_11_POST_RESP,4,27,1,8,,10/01/2015,06/30/2017
HI,Death rate for heart attack patients,MORT_30_AMI,0,9,0,4,,07/01/2014,06/30/2017
HI,Death rate for heart failure patients,MORT_30_HF,0,12,0,3,,07/01/2014,06/30/2017
HI,Death rate for pneumonia patients,MORT_30_PN,0,13,0,6,,07/01/2014,06/30/2017
HI,Death rate for COPD patients,MORT_30_COPD,0,11,0,4,,07/01/2014,06/30/2017
HI,Death rate for stroke patients,MORT_30_STK,0,11,0,2,,07/01/2014,06/30/2017
HI,Death rate for CABG surgery patients,MORT_30_CABG,0,2,0,4,,07/01/2014,06/30/2017
HI,Rate of complications for hip/knee replacement patients,COMP_HIP_KNEE,0,8,0,3,,04/01/2014,03/31/2017
HI,Patient Safety and Adverse Events Composite,PSI_90_SAFETY,0,12,0,Not Available,,10/01/2015,06/30/2017
HI,"Iatrogenic pneumothorax, adult Rate",PSI_6_IAT_PTX,0,12,0,0,,10/01/2015,06/30/2017
HI,Perioperative Pulmonary Embolism (PE) or Deep Vein Thrombosis (DVT) Rate,PSI_12_POSTOP_PULMEMB_DVT,0,12,0,0,,10/01/2015,06/30/2017
HI,Postoperative Wound Dehiscence Rate,PSI_14_POSTOP_DEHIS,0,12,0,0,,10/01/2015,06/30/2017
HI,Unrecognized Abdominopelvic Accidental Puncture/Laceration Rate,PSI_15_ACC_LAC,0,12,0,0,,10/01/2015,06/30/2017
HI,Death among surgical inpatients with serious treatable complications Rate,PSI_4_SURG_COMP,0,6,0,6,,10/01/2015,06/30/2017
HI,Pressure Ulcer Rate,PSI_3_ULCER,0,12,0,0,,10/01/2015,06/30/2017
HI,In-Hospital Fall With Hip Fracture Rate,PSI_8_POST_HIP,0,12,0,0,,10/01/2015,06/30/2017
