Provider Number,Hospital Name,Address,City,State,ZIP Code,County Name,Unweighted Normalized Clinical Care Domain Score,Weighted Normalized Clinical Care Domain Score,Unweighted Person and Community Engagement Domain Score,Weighted Person and Community Engagement Domain Score,Unweighted Normalized Safety Domain Score,Weighted Safety Domain Score,Unweighted Normalized Efficiency and Cost Reduction Domain Score,Weighted Efficiency and Cost Reduction Domain Score,Total Performance Score
10157,SHOALS HOSPITAL,201 WEST AVALON AVENUE,MUSCLE SHOALS,AL,35661,Colbert,33.33333333,11.11111111,53,17.66666667,Not Available,Not Available,20,6.666666667,35.44444444
10158,RUSSELLVILLE HOSPITAL,15155 HIGHWAY 43,RUSSELLVILLE,AL,35653,Franklin,53.33333333,17.77777778,49,16.33333333,Not Available,Not Available,10,3.333333333,37.44444444
10164,COOSA VALLEY MEDICAL CENTER,315 W HICKORY ST,SYLACAUGA,AL,35150,Talladega,40,10,28,7,83.33333333,20.83333333,20,5,42.83333333
10168,JACK HUGHSTON MEMORIAL HOSPITAL,4401 RIVER CHASE DRIVE,PHENIX CITY,AL,36867,Russell,30,10,90,30,Not Available,Not Available,20,6.666666667,46.66666667
10169,ATMORE COMMUNITY HOSPITAL,401 MEDICAL PARK DRIVE,ATMORE,AL,36502,Escambia,60,20,64,21.33333333,Not Available,Not Available,20,6.666666667,48
20001,PROVIDENCE ALASKA MEDICAL CENTER,3200 PROVIDENCE DRIVE,ANCHORAGE,AK,99508,Anchorage,75,18.75,25,6.25,13.33333333,3.333333333,50,12.5,40.83333333
20006,MAT-SU REGIONAL MEDICAL CENTER,2500 SOUTH WOODWORTH LOOP,PALMER,AK,99645,Matanuska-Susitna,47.5,11.875,28,7,72,18,100,25,61.875
20008,BARTLETT REGIONAL HOSPITAL,3260 HOSPITAL DR,JUNEAU,AK,99801,Juneau,40,10,49,12.25,40,10,50,12.5,44.75
20012,FAIRBANKS MEMORIAL HOSPITAL,1650 COWLES STREET,FAIRBANKS,AK,99701,Fairbanks North Star,70,17.5,39,9.75,42,10.5,100,25,62.75
20017,ALASKA REGIONAL HOSPITAL,2801 DEBARR ROAD,ANCHORAGE,AK,99508,Anchorage,62.5,15.625,27,6.75,30,7.5,60,15,44.875
20018,YUKON KUSKOKWIM DELTA REG HOSPITAL,PO BOX 287,BETHEL,AK,99559,Bethel,50,16.66666667,22,7.333333333,Not Available,Not Available,100,33.33333333,57.33333333
20024,CENTRAL PENINSULA GENERAL HOSPITAL,250 HOSPITAL PLACE,SOLDOTNA,AK,99669,Kenai Peninsula,26.66666667,6.666666667,27,6.75,25,6.25,100,25,44.66666667
20026,ALASKA NATIVE MEDICAL CENTER,4315 DIPLOMACY DR,ANCHORAGE,AK,99508,Anchorage,52.5,13.125,28,7,33.33333333,8.333333333,50,12.5,40.95833333
30002,BANNER - UNIVERSITY MEDICAL CENTER PHOENIX,1111 EAST MCDOWELL ROAD,PHOENIX,AZ,85006,Maricopa,42.5,10.625,22,5.5,40,10,0,0,26.125
30006,TUCSON MEDICAL CENTER,5301 EAST GRANT ROAD,TUCSON,AZ,85712,Pima,52.5,13.125,14,3.5,30,7.5,0,0,24.125
30007,VERDE VALLEY MEDICAL CENTER,269 SOUTH CANDY LANE,COTTONWOOD,AZ,86326,Yavapai,62.5,15.625,29,7.25,27.5,6.875,30,7.5,37.25
30010,ST. MARY'S HOSPITAL,1601 WEST ST MARY'S ROAD,TUCSON,AZ,85745,Pima,50,12.5,23,5.75,60,15,0,0,33.25
30011,ST JOSEPH'S HOSPITAL,350 NORTH WILMOT ROAD,TUCSON,AZ,85711,Pima,52.5,13.125,19,4.75,43.33333333,10.83333333,0,0,28.70833333
30012,YAVAPAI REGIONAL MEDICAL CENTER,1003 WILLOW CREEK ROAD,PRESCOTT,AZ,86301,Yavapai,35,8.75,24,6,70,17.5,30,7.5,39.75
30013,YUMA REGIONAL MEDICAL CENTER,2400 SOUTH AVENUE A,YUMA,AZ,85364,Yuma,67.5,16.875,15,3.75,45,11.25,20,5,36.875
30014,JOHN C. LINCOLN NORTH MOUNTAIN HOSPITAL,250 EAST DUNLAP AVENUE,PHOENIX,AZ,85020,Maricopa,50,12.5,14,3.5,38,9.5,0,0,25.5
30016,BANNER CASA GRANDE MEDICAL CENTER,1800 EAST FLORENCE BOULEVARD,CASA GRANDE,AZ,85122,Pinal,67.5,16.875,23,5.75,46.66666667,11.66666667,40,10,44.29166667
30022,MARICOPA MEDICAL CENTER,2601 EAST ROOSEVELT STREET,PHOENIX,AZ,85008,Maricopa,Not Available,Not Available,23,7.666666667,15,5,10,3.333333333,16
30023,FLAGSTAFF MEDICAL CENTER,1200 NORTH BEAVER STREET,FLAGSTAFF,AZ,86001,Coconino,85,21.25,31,7.75,26.66666667,6.666666667,20,5,40.66666667
30024,ST. JOSEPH'S HOSPITAL AND MEDICAL CENTER,350 WEST THOMAS ROAD,PHOENIX,AZ,85013,Maricopa,37.5,9.375,23,5.75,28.33333333,7.083333333,0,0,22.20833333
30030,ABRAZO CENTRAL CAMPUS,2000 WEST BETHANY HOME ROAD,PHOENIX,AZ,85015,Maricopa,72.5,18.125,19,4.75,61.66666667,15.41666667,0,0,38.29166667
30033,BANNER PAYSON MEDICAL CENTER,807 SOUTH PONDEROSA DRIVE,PAYSON,AZ,85541,Gila,72.5,18.125,38,9.5,65,16.25,70,17.5,61.375
30036,CHANDLER REGIONAL MEDICAL CENTER,1955 WEST FRYE ROAD,CHANDLER,AZ,85224,Maricopa,42.5,10.625,30,7.5,30,7.5,0,0,25.625
30037,ST LUKE'S MEDICAL CENTER,1800 EAST VAN BUREN STREET,PHOENIX,AZ,85006,Maricopa,40,10,19,4.75,40,10,20,5,29.75
30038,SCOTTSDALE OSBORN MEDICAL CENTER,7400 EAST OSBORN ROAD,SCOTTSDALE,AZ,85251,Maricopa,60,15,14,3.5,25,6.25,0,0,24.75
30043,CANYON VISTA MEDICAL CENTER,5700 EAST HIGHWAY 90,SIERRA VISTA,AZ,85635,Cochise,25,6.25,28,7,60,15,20,5,33.25
30055,KINGMAN REGIONAL MEDICAL CENTER,3269 STOCKTON HILL ROAD,KINGMAN,AZ,86409,Mohave,30,7.5,24,6,35,8.75,40,10,32.25
30061,BANNER BOSWELL MEDICAL CENTER,10401 WEST THUNDERBIRD BOULEVARD,SUN CITY,AZ,85351,Maricopa,90,22.5,23,5.75,52,13,40,10,51.25
30062,SUMMIT HEALTHCARE REGIONAL MEDICAL CENTER,2200 EAST SHOW LOW LAKE ROAD,SHOW LOW,AZ,85901,Navajo,57.5,14.375,30,7.5,32.5,8.125,40,10,40
30064,BANNER - UNIVERSITY MEDICAL CENTER TUCSON CAMPUS,1501 NORTH CAMPBELL AVENUE,TUCSON,AZ,85724,Pima,72.5,18.125,13,3.25,60,15,10,2.5,38.875
30065,BANNER DESERT MEDICAL CENTER,1400 SOUTH  DOBSON ROAD,MESA,AZ,85202,Maricopa,65,16.25,17,4.25,50,12.5,0,0,33
30068,MT. GRAHAM REGIONAL MEDICAL CENTER,1600 SOUTH 20TH AVENUE,SAFFORD,AZ,85546,Graham,35,8.75,52,13,50,12.5,30,7.5,41.75
30069,HAVASU REGIONAL MEDICAL CENTER,101 CIVIC CENTER LANE,LAKE HAVASU CITY,AZ,86403,Mohave,70,17.5,14,3.5,73.33333333,18.33333333,50,12.5,51.83333333
30071,FORT DEFIANCE INDIAN HOSPITAL,PO BOX 649,FORT DEFIANCE,AZ,86504,Apache,30,7.5,16,4,80,20,100,25,56.5
30073,TUBA CITY REGIONAL HEALTH CARE CORPORATION,PO BOX 600,TUBA CITY,AZ,86045,Coconino,40,10,37,9.25,40,10,90,22.5,51.75
30078,PHOENIX INDIAN MEDICAL CENTER,4212 NORTH 16TH STREET,PHOENIX,AZ,85016,Maricopa,Not Available,Not Available,32,10.66666667,90,30,100,33.33333333,74
30083,ABRAZO SCOTTSDALE CAMPUS,3929 EAST BELL ROAD,PHOENIX,AZ,85032,Maricopa,63.33333333,15.83333333,18,4.5,56,14,0,0,34.33333333
30084,CHINLE COMPREHENSIVE HEALTH CARE FACILITY,"US HWY 191, HOSPITAL ROAD",CHINLE,AZ,86503,Apache,50,12.5,39,9.75,20,5,100,25,52.25
30085,NORTHWEST MEDICAL CENTER,6200 NORTH LA CHOLLA BOULEVARD,TUCSON,AZ,85741,Pima,35,8.75,15,3.75,25,6.25,0,0,18.75
30087,SCOTTSDALE SHEA MEDICAL CENTER,9003 EAST SHEA BOULEVARD,SCOTTSDALE,AZ,85260,Maricopa,62.5,15.625,19,4.75,16.66666667,4.166666667,0,0,24.54166667
30088,BANNER BAYWOOD MEDICAL CENTER,6644 EAST BAYWOOD AVENUE,MESA,AZ,85206,Maricopa,55,13.75,18,4.5,31.66666667,7.916666667,10,2.5,28.66666667
30089,BANNER THUNDERBIRD MEDICAL CENTER,5555 WEST THUNDERBIRD ROAD,GLENDALE,AZ,85306,Maricopa,47.5,11.875,21,5.25,48.33333333,12.08333333,0,0,29.20833333
30092,HONORHEALTH DEER VALLEY MEDICAL CENTER,19829 NORTH 27TH AVENUE,PHOENIX,AZ,85027,Maricopa,55,13.75,17,4.25,50,12.5,0,0,30.5
30093,BANNER DEL E. WEBB MEDICAL CENTER,14502 WEST MEEKER BOULEVARD,SUN CITY WEST,AZ,85375,Maricopa,67.5,16.875,21,5.25,70,17.5,40,10,49.625
30094,ABRAZO ARROWHEAD CAMPUS,18701 NORTH 67TH AVENUE,GLENDALE,AZ,85308,Maricopa,50,12.5,22,5.5,16.66666667,4.166666667,0,0,22.16666667
30101,WESTERN ARIZONA REGIONAL MEDICAL CENTER,2735 SILVER CREEK ROAD,BULLHEAD CITY,AZ,86442,Mohave,65,16.25,25,6.25,85,21.25,60,15,58.75
30103,MAYO CLINIC HOSPITAL,5777 EAST MAYO BOULEVARD,PHOENIX,AZ,85054,Maricopa,100,25,96,24,12,3,30,7.5,59.5
30105,BANNER HEART HOSPITAL,6750 EAST BAYWOOD AVENUE,MESA,AZ,85206,Maricopa,85,21.25,42,10.5,53.33333333,13.33333333,0,0,45.08333333
30110,ABRAZO WEST CAMPUS,13677 WEST MCDOWELL ROAD,GOODYEAR,AZ,85395,Maricopa,26.66666667,6.666666667,19,4.75,58.33333333,14.58333333,10,2.5,28.5
30111,BANNER-UNIVERSITY MEDICAL CENTER SOUTH CAMPUS,2800 EAST AJO WAY,TUCSON,AZ,85713,Pima,53.33333333,13.33333333,14,3.5,55,13.75,60,15,45.58333333
30114,ORO VALLEY HOSPITAL,1551 EAST TANGERINE ROAD,ORO VALLEY,AZ,85755,Pima,50,12.5,42,10.5,80,20,30,7.5,50.5
30115,BANNER ESTRELLA MEDICAL CENTER,9201 WEST THOMAS ROAD,PHOENIX,AZ,85037,Maricopa,62.5,15.625,33,8.25,56.66666667,14.16666667,50,12.5,50.54166667
30117,VALLEY VIEW MEDICAL CENTER,5330 SOUTH HIGHWAY 95,FORT MOHAVE,AZ,86426,Mohave,62.5,15.625,24,6,66.66666667,16.66666667,70,17.5,55.79166667
30119,MERCY GILBERT MEDICAL CENTER,3555 SOUTH VAL VISTA DRIVE,GILBERT,AZ,85297,Maricopa,72.5,18.125,30,7.5,23.33333333,5.833333333,0,0,31.45833333
30121,"MOUNTAIN VISTA MEDICAL CENTER, LP",1301 SOUTH CRISMON ROAD,MESA,AZ,85209,Maricopa,57.5,14.375,17,4.25,80,20,20,5,43.625
30122,BANNER GATEWAY MEDICAL CENTER,1900 NORTH HIGLEY ROAD,GILBERT,AZ,85234,Maricopa,52.5,13.125,37,9.25,10,2.5,10,2.5,27.375
30123,SCOTTSDALE THOMPSON PEAK MEDICAL CENTER,7400 EAST THOMPSON PEAK PARKWAY,SCOTTSDALE,AZ,85255,Maricopa,80,20,44,11,44,11,20,5,47
30130,BANNER IRONWOOD MEDICAL CENTER,37000 NORTH GANTZEL ROAD,QUEEN CREEK,AZ,85140,Pinal,33.33333333,8.333333333,59,14.75,20,5,30,7.5,35.58333333
30134,BANNER GOLDFIELD MEDICAL CENTER,2050 WEST SOUTHERN AVENUE,APACHE JUNCTION,AZ,85120,Pinal,50,16.66666667,42,14,Not Available,Not Available,80,26.66666667,57.33333333
40001,SILOAM SPRINGS REGIONAL HOSPITAL,603 NORTH PROGRESS AVENUE,SILOAM SPRINGS,AR,72761,Benton,30,7.5,36,9,60,15,0,0,31.5
40002,JOHNSON REGIONAL MEDICAL CENTER,1100 EAST POPLAR STREET,CLARKSVILLE,AR,72830,Johnson,33.33333333,8.333333333,36,9,100,25,10,2.5,44.83333333
40004,WASHINGTON REGIONAL MEDICAL CENTER,3215 N NORTH HILLS BOULEVARD,FAYETTEVILLE,AR,72703,Washington,50,12.5,22,5.5,8.333333333,2.083333333,0,0,20.08333333
40007,CHI-ST VINCENT INFIRMARY,TWO ST VINCENT CIRCLE,LITTLE ROCK,AR,72205,Pulaski,52.5,13.125,17,4.25,20,5,0,0,22.375
40010,MERCY HOSPITAL NORTHWEST ARKANSAS,2710 SOUTH RIFE MEDICAL LANE,ROGERS,AR,72758,Benton,47.5,11.875,26,6.5,36.66666667,9.166666667,20,5,32.54166667
40011,CHAMBERS MEMORIAL HOSPITAL,719 DETROIT STREET,DANVILLE,AR,72833,Yell,63.33333333,21.11111111,73,24.33333333,Not Available,Not Available,90,30,75.44444444
40014,WHITE COUNTY MEDICAL CENTER,3214 EAST RACE AVENUE,SEARCY,AR,72143,White,62.5,15.625,40,10,66.66666667,16.66666667,0,0,42.29166667
40015,MENA REGIONAL HEALTH SYSTEM,311 NORTH MORROW STREET,MENA,AR,71953,Polk,0,0,57,14.25,100,25,0,0,39.25
40016,UAMS MEDICAL CENTER,4301 WEST MARKHAM STREET MAIL SLOT 612,LITTLE ROCK,AR,72205,Pulaski,55,13.75,15,3.75,18.33333333,4.583333333,0,0,22.08333333
40017,NORTH ARKANSAS REGIONAL MEDICAL CENTER,620 NORTH MAIN STREET,HARRISON,AR,72601,Boone,33.33333333,8.333333333,33,8.25,25,6.25,40,10,32.83333333
40019,FORREST CITY MEDICAL CENTER,1601 NEWCASTLE ROAD,FORREST CITY,AR,72335,Saint Francis,0,0,39,9.75,65,16.25,20,5,31
40020,ST BERNARDS MEDICAL CENTER,225 E JACKSON,JONESBORO,AR,72401,Craighead,30,7.5,36,9,18.33333333,4.583333333,0,0,21.08333333
40022,NORTHWEST MEDICAL CENTER-SPRINGDALE,609 WEST MAPLE AVENUE,SPRINGDALE,AR,72764,Washington,45,11.25,19,4.75,18.33333333,4.583333333,0,0,20.58333333
40026,CHI ST. VINCENT HOSPITAL HOT SPRINGS,300 WERNER STREET,HOT SPRINGS,AR,71903,Garland,50,12.5,23,5.75,45,11.25,0,0,29.5
40027,BAXTER REGIONAL MEDICAL CENTER,624 HOSPITAL DRIVE,MOUNTAIN HOME,AR,72653,Baxter,25,6.25,35,8.75,53.33333333,13.33333333,20,5,33.33333333
40029,CONWAY REGIONAL MEDICAL CENTER,2302 COLLEGE AVENUE,CONWAY,AR,72034,Faulkner,55,13.75,43,10.75,38.33333333,9.583333333,0,0,34.08333333
40036,BAPTIST HEALTH MEDICAL CENTER NORTH LITTLE ROCK,3333 SPRINGHILL DRIVE,NORTH LITTLE ROCK,AR,72117,Pulaski,15,3.75,25,6.25,23.33333333,5.833333333,0,0,15.83333333
40039,ARKANSAS METHODIST MEDICAL CENTER,900 WEST KINGSHIGHWAY,PARAGOULD,AR,72450,Greene,26.66666667,6.666666667,33,8.25,30,7.5,0,0,22.41666667
40041,ST MARYS REGIONAL MEDICAL CENTER,1808 WEST MAIN STREET,RUSSELLVILLE,AR,72801,Pope,50,12.5,14,3.5,50,12.5,30,7.5,36
40047,FIVE RIVERS MEDICAL CENTER,2801 MEDICAL CENTER DRIVE,POCAHONTAS,AR,72455,Randolph,15,5,21,7,Not Available,Not Available,0,0,12
