State,Measure Name,Measure ID,Number of Hospitals Worse,Number of Hospitals Same,Number of Hospitals Better,Number of Hospitals Too Few,Footnote,Measure Start Date,Measure End Date,Number of Hospitals Fewer,Number of Hospitals Average,Number of Hospitals More,Number of Hospitals Too Small
AK,Heart failure (HF) 30-Day Readmission Rate,READM_30_HF,0,8,1,14,,07/01/2014,06/30/2017,Not Applicable,Not Applicable,Not Applicable,Not Applicable
AS,Heart failure (HF) 30-Day Readmission Rate,READM_30_HF,Not Available,Not Available,Not Available,Not Available,5 - Results are not available for this reporting period.,07/01/2014,06/30/2017,Not Applicable,Not Applicable,Not Applicable,Not Applicable
KY,Heart failure (HF) 30-Day Readmission Rate,READM_30_HF,5,79,2,9,,07/01/2014,06/30/2017,Not Applicable,Not Applicable,Not Applicable,Not Applicable
MA,Heart failure (HF) 30-Day Readmission Rate,READM_30_HF,9,50,0,3,,07/01/2014,06/30/2017,Not Applicable,Not Applicable,Not Applicable,Not Applicable
MD,Heart failure (HF) 30-Day Readmission Rate,READM_30_HF,3,39,4,2,,07/01/2014,06/30/2017,Not Applicable,Not Applicable,Not Applicable,Not Applicable
NE,Heart failure (HF) 30-Day Readmission Rate,READM_30_HF,1,41,1,42,,07/01/2014,06/30/2017,Not Applicable,Not Applicable,Not Applicable,Not Applicable
OH,Heart failure (HF) 30-Day Readmission Rate,READM_30_HF,2,140,5,11,,07/01/2014,06/30/2017,Not Applicable,Not Applicable,Not Applicable,Not Applicable
PA,Heart failure (HF) 30-Day Readmission Rate,READM_30_HF,4,142,10,7,,07/01/2014,06/30/2017,Not Applicable,Not Applicable,Not Applicable,Not Applicable
PR,Heart failure (HF) 30-Day Readmission Rate,READM_30_HF,1,23,0,26,,07/01/2014,06/30/2017,Not Applicable,Not Applicable,Not Applicable,Not Applicable
SD,Heart failure (HF) 30-Day Readmission Rate,READM_30_HF,0,23,1,32,,07/01/2014,06/30/2017,Not Applicable,Not Applicable,Not Applicable,Not Applicable
AK,Pneumonia (PN) 30-Day Readmission Rate,READM_30_PN,0,14,0,9,,07/01/2014,06/30/2017,Not Applicable,Not Applicable,Not Applicable,Not Applicable
AS,Pneumonia (PN) 30-Day Readmission Rate,READM_30_PN,Not Available,Not Available,Not Available,Not Available,5 - Results are not available for this reporting period.,07/01/2014,06/30/2017,Not Applicable,Not Applicable,Not Applicable,Not Applicable
KY,Pneumonia (PN) 30-Day Readmission Rate,READM_30_PN,6,86,0,4,,07/01/2014,06/30/2017,Not Applicable,Not Applicable,Not Applicable,Not Applicable
MA,Pneumonia (PN) 30-Day Readmission Rate,READM_30_PN,7,53,1,2,,07/01/2014,06/30/2017,Not Applicable,Not Applicable,Not Applicable,Not Applicable
MD,Pneumonia (PN) 30-Day Readmission Rate,READM_30_PN,3,42,1,3,,07/01/2014,06/30/2017,Not Applicable,Not Applicable,Not Applicable,Not Applicable
NE,Pneumonia (PN) 30-Day Readmission Rate,READM_30_PN,0,73,0,14,,07/01/2014,06/30/2017,Not Applicable,Not Applicable,Not Applicable,Not Applicable
OH,Pneumonia (PN) 30-Day Readmission Rate,READM_30_PN,7,141,3,9,,07/01/2014,06/30/2017,Not Applicable,Not Applicable,Not Applicable,Not Applicable
PA,Pneumonia (PN) 30-Day Readmission Rate,READM_30_PN,4,151,5,3,,07/01/2014,06/30/2017,Not Applicable,Not Applicable,Not Applicable,Not Applicable
PR,Pneumonia (PN) 30-Day Readmission Rate,READM_30_PN,1,26,0,23,,07/01/2014,06/30/2017,Not Applicable,Not Applicable,Not Applicable,Not Applicable
SD,Pneumonia (PN) 30-Day Readmission Rate,READM_30_PN,0,45,1,11,,07/01/2014,06/30/2017,Not Applicable,Not Applicable,Not Applicable,Not Applicable
AK,Rate of readmission after hip/knee replacement,READM_30_HIP_KNEE,0,8,0,1,,07/01/2014,06/30/2017,Not Applicable,Not Applicable,Not Applicable,Not Applicable
AS,Rate of readmission after hip/knee replacement,READM_30_HIP_KNEE,Not Available,Not Available,Not Available,Not Available,5 - Results are not available for this reporting period.,07/01/2014,06/30/2017,Not Applicable,Not Applicable,Not Applicable,Not Applicable
KY,Rate of readmission after hip/knee replacement,READM_30_HIP_KNEE,0,42,0,15,,07/01/2014,06/30/2017,Not Applicable,Not Applicable,Not Applicable,Not Applicable
MA,Rate of readmission after hip/knee replacement,READM_30_HIP_KNEE,1,51,1,3,,07/01/2014,06/30/2017,Not Applicable,Not Applicable,Not Applicable,Not Applicable
MD,Rate of readmission after hip/knee replacement,READM_30_HIP_KNEE,0,40,2,3,,07/01/2014,06/30/2017,Not Applicable,Not Applicable,Not Applicable,Not Applicable
NE,Rate of readmission after hip/knee replacement,READM_30_HIP_KNEE,0,41,1,13,,07/01/2014,06/30/2017,Not Applicable,Not Applicable,Not Applicable,Not Applicable
OH,Rate of readmission after hip/knee replacement,READM_30_HIP_KNEE,0,133,3,12,,07/01/2014,06/30/2017,Not Applicable,Not Applicable,Not Applicable,Not Applicable
PA,Rate of readmission after hip/knee replacement,READM_30_HIP_KNEE,3,130,0,19,,07/01/2014,06/30/2017,Not Applicable,Not Applicable,Not Applicable,Not Applicable
PR,Rate of readmission after hip/knee replacement,READM_30_HIP_KNEE,0,6,0,27,,07/01/2014,06/30/2017,Not Applicable,Not Applicable,Not Applicable,Not Applicable
SD,Rate of readmission after hip/knee replacement,READM_30_HIP_KNEE,0,16,0,3,,07/01/2014,06/30/2017,Not Applicable,Not Applicable,Not Applicable,Not Applicable
AK,Rate of readmission after discharge from hospital (hospital-wide),READM_30_HOSP_WIDE,0,18,2,2,,07/01/2016,06/30/2017,Not Applicable,Not Applicable,Not Applicable,Not Applicable
AS,Rate of readmission after discharge from hospital (hospital-wide),READM_30_HOSP_WIDE,Not Available,Not Available,Not Available,Not Available,5 - Results are not available for this reporting period.,07/01/2016,06/30/2017,Not Applicable,Not Applicable,Not Applicable,Not Applicable
KY,Rate of readmission after discharge from hospital (hospital-wide),READM_30_HOSP_WIDE,8,81,1,0,,07/01/2016,06/30/2017,Not Applicable,Not Applicable,Not Applicable,Not Applicable
MA,Rate of readmission after discharge from hospital (hospital-wide),READM_30_HOSP_WIDE,17,42,1,0,,07/01/2016,06/30/2017,Not Applicable,Not Applicable,Not Applicable,Not Applicable
MD,Rate of readmission after discharge from hospital (hospital-wide),READM_30_HOSP_WIDE,5,31,11,0,,07/01/2016,06/30/2017,Not Applicable,Not Applicable,Not Applicable,Not Applicable
NE,Rate of readmission after discharge from hospital (hospital-wide),READM_30_HOSP_WIDE,0,79,4,4,,07/01/2016,06/30/2017,Not Applicable,Not Applicable,Not Applicable,Not Applicable
OH,Rate of readmission after discharge from hospital (hospital-wide),READM_30_HOSP_WIDE,10,143,5,4,,07/01/2016,06/30/2017,Not Applicable,Not Applicable,Not Applicable,Not Applicable
PA,Rate of readmission after discharge from hospital (hospital-wide),READM_30_HOSP_WIDE,17,135,10,4,,07/01/2016,06/30/2017,Not Applicable,Not Applicable,Not Applicable,Not Applicable
PR,Rate of readmission after discharge from hospital (hospital-wide),READM_30_HOSP_WIDE,1,47,0,3,,07/01/2016,06/30/2017,Not Applicable,Not Applicable,Not Applicable,Not Applicable
SD,Rate of readmission after discharge from hospital (hospital-wide),READM_30_HOSP_WIDE,0,54,1,3,,07/01/2016,06/30/2017,Not Applicable,Not Applicable,Not Applicable,Not Applicable
AK,Rate of readmission for chronic obstructive pulmonary disease (COPD) patients,READM_30_COPD,0,13,0,10,,07/01/2014,06/30/2017,Not Applicable,Not Applicable,Not Applicable,Not Applicable
AS,Rate of readmission for chronic obstructive pulmonary disease (COPD) patients,READM_30_COPD,Not Available,Not Available,Not Available,Not Available,5 - Results are not available for this reporting period.,07/01/2014,06/30/2017,Not Applicable,Not Applicable,Not Applicable,Not Applicable
KY,Rate of readmission for chronic obstructive pulmonary disease (COPD) patients,READM_30_COPD,4,83,1,5,,07/01/2014,06/30/2017,Not Applicable,Not Applicable,Not Applicable,Not Applicable
MA,Rate of readmission for chronic obstructive pulmonary disease (COPD) patients,READM_30_COPD,6,51,0,5,,07/01/2014,06/30/2017,Not Applicable,Not Applicable,Not Applicable,Not Applicable
MD,Rate of readmission for chronic obstructive pulmonary disease (COPD) patients,READM_30_COPD,1,43,1,1,,07/01/2014,06/30/2017,Not Applicable,Not Applicable,Not Applicable,Not Applicable
NE,Rate of readmission for chronic obstructive pulmonary disease (COPD) patients,READM_30_COPD,0,49,0,33,,07/01/2014,06/30/2017,Not Applicable,Not Applicable,Not Applicable,Not Applicable
OH,Rate of readmission for chronic obstructive pulmonary disease (COPD) patients,READM_30_COPD,1,146,0,8,,07/01/2014,06/30/2017,Not Applicable,Not Applicable,Not Applicable,Not Applicable
PA,Rate of readmission for chronic obstructive pulmonary disease (COPD) patients,READM_30_COPD,1,149,1,5,,07/01/2014,06/30/2017,Not Applicable,Not Applicable,Not Applicable,Not Applicable
PR,Rate of readmission for chronic obstructive pulmonary disease (COPD) patients,READM_30_COPD,0,16,0,32,,07/01/2014,06/30/2017,Not Applicable,Not Applicable,Not Applicable,Not Applicable
SD,Rate of readmission for chronic obstructive pulmonary disease (COPD) patients,READM_30_COPD,0,22,0,32,,07/01/2014,06/30/2017,Not Applicable,Not Applicable,Not Applicable,Not Applicable
AK,Rate of readmission for stroke patients,READM_30_STK,0,8,0,13,,07/01/2014,06/30/2017,Not Applicable,Not Applicable,Not Applicable,Not Applicable
AS,Rate of readmission for stroke patients,READM_30_STK,Not Available,Not Available,Not Available,Not Available,5 - Results are not available for this reporting period.,07/01/2014,06/30/2017,Not Applicable,Not Applicable,Not Applicable,Not Applicable
KY,Rate of readmission for stroke patients,READM_30_STK,1,40,0,49,,07/01/2014,06/30/2017,Not Applicable,Not Applicable,Not Applicable,Not Applicable
MA,Rate of readmission for stroke patients,READM_30_STK,0,51,0,9,,07/01/2014,06/30/2017,Not Applicable,Not Applicable,Not Applicable,Not Applicable
MD,Rate of readmission for stroke patients,READM_30_STK,1,42,0,3,,07/01/2014,06/30/2017,Not Applicable,Not Applicable,Not Applicable,Not Applicable
NE,Rate of readmission for stroke patients,READM_30_STK,0,20,1,56,,07/01/2014,06/30/2017,Not Applicable,Not Applicable,Not Applicable,Not Applicable
OH,Rate of readmission for stroke patients,READM_30_STK,1,98,0,51,,07/01/2014,06/30/2017,Not Applicable,Not Applicable,Not Applicable,Not Applicable
PA,Rate of readmission for stroke patients,READM_30_STK,2,109,1,42,,07/01/2014,06/30/2017,Not Applicable,Not Applicable,Not Applicable,Not Applicable
PR,Rate of readmission for stroke patients,READM_30_STK,0,7,0,38,,07/01/2014,06/30/2017,Not Applicable,Not Applicable,Not Applicable,Not Applicable
SD,Rate of readmission for stroke patients,READM_30_STK,0,12,0,32,,07/01/2014,06/30/2017,Not Applicable,Not Applicable,Not Applicable,Not Applicable
AK,Rate of readmission for CABG,READM_30_CABG,0,2,0,0,,07/01/2014,06/30/2017,Not Applicable,Not Applicable,Not Applicable,Not Applicable
AS,Rate of readmission for CABG,READM_30_CABG,Not Available,Not Available,Not Available,Not Available,5 - Results are not available for this reporting period.,07/01/2014,06/30/2017,Not Applicable,Not Applicable,Not Applicable,Not Applicable
KY,Rate of readmission for CABG,READM_30_CABG,0,16,0,1,,07/01/2014,06/30/2017,Not Applicable,Not Applicable,Not Applicable,Not Applicable
MA,Rate of readmission for CABG,READM_30_CABG,1,13,0,0,,07/01/2014,06/30/2017,Not Applicable,Not Applicable,Not Applicable,Not Applicable
MD,Rate of readmission for CABG,READM_30_CABG,0,10,0,2,,07/01/2014,06/30/2017,Not Applicable,Not Applicable,Not Applicable,Not Applicable
NE,Rate of readmission for CABG,READM_30_CABG,0,8,0,1,,07/01/2014,06/30/2017,Not Applicable,Not Applicable,Not Applicable,Not Applicable
OH,Rate of readmission for CABG,READM_30_CABG,0,48,0,11,,07/01/2014,06/30/2017,Not Applicable,Not Applicable,Not Applicable,Not Applicable
PA,Rate of readmission for CABG,READM_30_CABG,0,53,0,7,,07/01/2014,06/30/2017,Not Applicable,Not Applicable,Not Applicable,Not Applicable
PR,Rate of readmission for CABG,READM_30_CABG,0,1,0,8,,07/01/2014,06/30/2017,Not Applicable,Not Applicable,Not Applicable,Not Applicable
SD,Rate of readmission for CABG,READM_30_CABG,0,3,0,0,,07/01/2014,06/30/2017,Not Applicable,Not Applicable,Not Applicable,Not Applicable
AK,"Rate of unplanned hospital visits after colonoscopy (per 1,000 colonoscopies)",OP_32,0,7,0,5,,01/01/2017,12/31/2017,Not Applicable,Not Applicable,Not Applicable,Not Applicable
AS,"Rate of unplanned hospital visits after colonoscopy (per 1,000 colonoscopies)",OP_32,Not Available,Not Available,Not Available,Not Available,5 - Results are not available for this reporting period.,01/01/2017,12/31/2017,Not Applicable,Not Applicable,Not Applicable,Not Applicable
KY,"Rate of unplanned hospital visits after colonoscopy (per 1,000 colonoscopies)",OP_32,0,67,0,17,,01/01/2017,12/31/2017,Not Applicable,Not Applicable,Not Applicable,Not Applicable
MA,"Rate of unplanned hospital visits after colonoscopy (per 1,000 colonoscopies)",OP_32,0,55,0,1,,01/01/2017,12/31/2017,Not Applicable,Not Applicable,Not Applicable,Not Applicable
MD,"Rate of unplanned hospital visits after colonoscopy (per 1,000 colonoscopies)",OP_32,0,37,0,8,,01/01/2017,12/31/2017,Not Applicable,Not Applicable,Not Applicable,Not Applicable
NE,"Rate of unplanned hospital visits after colonoscopy (per 1,000 colonoscopies)",OP_32,0,45,0,27,,01/01/2017,12/31/2017,Not Applicable,Not Applicable,Not Applicable,Not Applicable
OH,"Rate of unplanned hospital visits after colonoscopy (per 1,000 colonoscopies)",OP_32,0,136,0,17,,01/01/2017,12/31/2017,Not Applicable,Not Applicable,Not Applicable,Not Applicable
PA,"Rate of unplanned hospital visits after colonoscopy (per 1,000 colonoscopies)",OP_32,0,139,0,14,,01/01/2017,12/31/2017,Not Applicable,Not Applicable,Not Applicable,Not Applicable
PR,"Rate of unplanned hospital visits after colonoscopy (per 1,000 colonoscopies)",OP_32,0,6,0,18,,01/01/2017,12/31/2017,Not Applicable,Not Applicable,Not Applicable,Not Applicable
SD,"Rate of unplanned hospital visits after colonoscopy (per 1,000 colonoscopies)",OP_32,0,17,0,24,,01/01/2017,12/31/2017,Not Applicable,Not Applicable,Not Applicable,Not Applicable
AK,Hospital return days for heart attack patients,EDAC_30_AMI,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2014,06/30/2017,1,4,0,13
AS,Hospital return days for heart attack patients,EDAC_30_AMI,Not Applicable,Not Applicable,Not Applicable,Not Applicable,5 - Results are not available for this reporting period.,07/01/2014,06/30/2017,Not Available,Not Available,Not Available,Not Available
KY,Hospital return days for heart attack patients,EDAC_30_AMI,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2014,06/30/2017,2,23,12,50
MA,Hospital return days for heart attack patients,EDAC_30_AMI,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2014,06/30/2017,2,31,13,13
MD,Hospital return days for heart attack patients,EDAC_30_AMI,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2014,06/30/2017,2,25,10,9
NE,Hospital return days for heart attack patients,EDAC_30_AMI,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2014,06/30/2017,6,12,1,51
OH,Hospital return days for heart attack patients,EDAC_30_AMI,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2014,06/30/2017,7,57,22,63
PA,Hospital return days for heart attack patients,EDAC_30_AMI,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2014,06/30/2017,8,80,18,48
PR,Hospital return days for heart attack patients,EDAC_30_AMI,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2014,06/30/2017,1,6,4,35
SD,Hospital return days for heart attack patients,EDAC_30_AMI,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2014,06/30/2017,2,5,1,30
AK,Hospital return days for heart failure patients,EDAC_30_HF,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2014,06/30/2017,0,7,2,14
AS,Hospital return days for heart failure patients,EDAC_30_HF,Not Applicable,Not Applicable,Not Applicable,Not Applicable,5 - Results are not available for this reporting period.,07/01/2014,06/30/2017,Not Available,Not Available,Not Available,Not Available
KY,Hospital return days for heart failure patients,EDAC_30_HF,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2014,06/30/2017,4,58,22,9
MA,Hospital return days for heart failure patients,EDAC_30_HF,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2014,06/30/2017,1,37,20,3
MD,Hospital return days for heart failure patients,EDAC_30_HF,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2014,06/30/2017,3,24,18,1
NE,Hospital return days for heart failure patients,EDAC_30_HF,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2014,06/30/2017,10,31,1,42
OH,Hospital return days for heart failure patients,EDAC_30_HF,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2014,06/30/2017,22,104,17,11
PA,Hospital return days for heart failure patients,EDAC_30_HF,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2014,06/30/2017,13,111,26,6
PR,Hospital return days for heart failure patients,EDAC_30_HF,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2014,06/30/2017,0,10,13,26
SD,Hospital return days for heart failure patients,EDAC_30_HF,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2014,06/30/2017,2,19,0,32
AK,Hospital return days for pneumonia patients,EDAC_30_PN,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2014,06/30/2017,3,10,1,9
AS,Hospital return days for pneumonia patients,EDAC_30_PN,Not Applicable,Not Applicable,Not Applicable,Not Applicable,5 - Results are not available for this reporting period.,07/01/2014,06/30/2017,Not Available,Not Available,Not Available,Not Available
KY,Hospital return days for pneumonia patients,EDAC_30_PN,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2014,06/30/2017,9,52,29,4
MA,Hospital return days for pneumonia patients,EDAC_30_PN,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2014,06/30/2017,9,34,17,2
MD,Hospital return days for pneumonia patients,EDAC_30_PN,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2014,06/30/2017,1,22,22,2
NE,Hospital return days for pneumonia patients,EDAC_30_PN,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2014,06/30/2017,12,55,5,14
OH,Hospital return days for pneumonia patients,EDAC_30_PN,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2014,06/30/2017,27,96,24,9
PA,Hospital return days for pneumonia patients,EDAC_30_PN,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2014,06/30/2017,17,101,36,2
PR,Hospital return days for pneumonia patients,EDAC_30_PN,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2014,06/30/2017,0,7,19,23
SD,Hospital return days for pneumonia patients,EDAC_30_PN,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2014,06/30/2017,6,36,1,11
AR,Acute Myocardial Infarction (AMI) 30-Day Readmission Rate,READM_30_AMI,0,26,0,39,,07/01/2014,06/30/2017,Not Applicable,Not Applicable,Not Applicable,Not Applicable
HI,Acute Myocardial Infarction (AMI) 30-Day Readmission Rate,READM_30_AMI,0,8,0,5,,07/01/2014,06/30/2017,Not Applicable,Not Applicable,Not Applicable,Not Applicable
MN,Acute Myocardial Infarction (AMI) 30-Day Readmission Rate,READM_30_AMI,1,19,0,79,,07/01/2014,06/30/2017,Not Applicable,Not Applicable,Not Applicable,Not Applicable
NJ,Acute Myocardial Infarction (AMI) 30-Day Readmission Rate,READM_30_AMI,1,62,0,2,,07/01/2014,06/30/2017,Not Applicable,Not Applicable,Not Applicable,Not Applicable
OK,Acute Myocardial Infarction (AMI) 30-Day Readmission Rate,READM_30_AMI,1,32,1,53,,07/01/2014,06/30/2017,Not Applicable,Not Applicable,Not Applicable,Not Applicable
OR,Acute Myocardial Infarction (AMI) 30-Day Readmission Rate,READM_30_AMI,0,22,1,34,,07/01/2014,06/30/2017,Not Applicable,Not Applicable,Not Applicable,Not Applicable
WA,Acute Myocardial Infarction (AMI) 30-Day Readmission Rate,READM_30_AMI,0,43,1,39,,07/01/2014,06/30/2017,Not Applicable,Not Applicable,Not Applicable,Not Applicable
WI,Acute Myocardial Infarction (AMI) 30-Day Readmission Rate,READM_30_AMI,1,44,0,75,,07/01/2014,06/30/2017,Not Applicable,Not Applicable,Not Applicable,Not Applicable
AR,Heart failure (HF) 30-Day Readmission Rate,READM_30_HF,7,55,0,14,,07/01/2014,06/30/2017,Not Applicable,Not Applicable,Not Applicable,Not Applicable
HI,Heart failure (HF) 30-Day Readmission Rate,READM_30_HF,0,13,0,2,,07/01/2014,06/30/2017,Not Applicable,Not Applicable,Not Applicable,Not Applicable
MN,Heart failure (HF) 30-Day Readmission Rate,READM_30_HF,0,72,0,56,,07/01/2014,06/30/2017,Not Applicable,Not Applicable,Not Applicable,Not Applicable
NJ,Heart failure (HF) 30-Day Readmission Rate,READM_30_HF,6,53,6,0,,07/01/2014,06/30/2017,Not Applicable,Not Applicable,Not Applicable,Not Applicable
OK,Heart failure (HF) 30-Day Readmission Rate,READM_30_HF,4,77,2,35,,07/01/2014,06/30/2017,Not Applicable,Not Applicable,Not Applicable,Not Applicable
OR,Heart failure (HF) 30-Day Readmission Rate,READM_30_HF,0,48,2,11,,07/01/2014,06/30/2017,Not Applicable,Not Applicable,Not Applicable,Not Applicable
WA,Heart failure (HF) 30-Day Readmission Rate,READM_30_HF,0,67,3,19,,07/01/2014,06/30/2017,Not Applicable,Not Applicable,Not Applicable,Not Applicable
WI,Heart failure (HF) 30-Day Readmission Rate,READM_30_HF,1,108,1,13,,07/01/2014,06/30/2017,Not Applicable,Not Applicable,Not Applicable,Not Applicable
AR,Pneumonia (PN) 30-Day Readmission Rate,READM_30_PN,4,67,2,3,,07/01/2014,06/30/2017,Not Applicable,Not Applicable,Not Applicable,Not Applicable
HI,Pneumonia (PN) 30-Day Readmission Rate,READM_30_PN,0,13,0,5,,07/01/2014,06/30/2017,Not Applicable,Not Applicable,Not Applicable,Not Applicable
MN,Pneumonia (PN) 30-Day Readmission Rate,READM_30_PN,1,91,0,37,,07/01/2014,06/30/2017,Not Applicable,Not Applicable,Not Applicable,Not Applicable
NJ,Pneumonia (PN) 30-Day Readmission Rate,READM_30_PN,11,53,1,0,,07/01/2014,06/30/2017,Not Applicable,Not Applicable,Not Applicable,Not Applicable
OK,Pneumonia (PN) 30-Day Readmission Rate,READM_30_PN,1,105,1,13,,07/01/2014,06/30/2017,Not Applicable,Not Applicable,Not Applicable,Not Applicable
OR,Pneumonia (PN) 30-Day Readmission Rate,READM_30_PN,0,56,1,4,,07/01/2014,06/30/2017,Not Applicable,Not Applicable,Not Applicable,Not Applicable
WA,Pneumonia (PN) 30-Day Readmission Rate,READM_30_PN,0,78,2,10,,07/01/2014,06/30/2017,Not Applicable,Not Applicable,Not Applicable,Not Applicable
WI,Pneumonia (PN) 30-Day Readmission Rate,READM_30_PN,1,118,0,4,,07/01/2014,06/30/2017,Not Applicable,Not Applicable,Not Applicable,Not Applicable
AR,Rate of readmission after hip/knee replacement,READM_30_HIP_KNEE,0,30,1,12,,07/01/2014,06/30/2017,Not Applicable,Not Applicable,Not Applicable,Not Applicable
HI,Rate of readmission after hip/knee replacement,READM_30_HIP_KNEE,0,9,0,2,,07/01/2014,06/30/2017,Not Applicable,Not Applicable,Not Applicable,Not Applicable
MN,Rate of readmission after hip/knee replacement,READM_30_HIP_KNEE,0,59,1,26,,07/01/2014,06/30/2017,Not Applicable,Not Applicable,Not Applicable,Not Applicable
NJ,Rate of readmission after hip/knee replacement,READM_30_HIP_KNEE,0,50,1,12,,07/01/2014,06/30/2017,Not Applicable,Not Applicable,Not Applicable,Not Applicable
OK,Rate of readmission after hip/knee replacement,READM_30_HIP_KNEE,0,48,1,11,,07/01/2014,06/30/2017,Not Applicable,Not Applicable,Not Applicable,Not Applicable
OR,Rate of readmission after hip/knee replacement,READM_30_HIP_KNEE,0,42,0,5,,07/01/2014,06/30/2017,Not Applicable,Not Applicable,Not Applicable,Not Applicable
WA,Rate of readmission after hip/knee replacement,READM_30_HIP_KNEE,0,52,2,8,,07/01/2014,06/30/2017,Not Applicable,Not Applicable,Not Applicable,Not Applicable
WI,Rate of readmission after hip/knee replacement,READM_30_HIP_KNEE,0,84,1,18,,07/01/2014,06/30/2017,Not Applicable,Not Applicable,Not Applicable,Not Applicable
AR,Rate of readmission after discharge from hospital (hospital-wide),READM_30_HOSP_WIDE,5,68,0,0,,07/01/2016,06/30/2017,Not Applicable,Not Applicable,Not Applicable,Not Applicable
HI,Rate of readmission after discharge from hospital (hospital-wide),READM_30_HOSP_WIDE,0,11,2,3,,07/01/2016,06/30/2017,Not Applicable,Not Applicable,Not Applicable,Not Applicable
MN,Rate of readmission after discharge from hospital (hospital-wide),READM_30_HOSP_WIDE,0,117,0,11,,07/01/2016,06/30/2017,Not Applicable,Not Applicable,Not Applicable,Not Applicable
NJ,Rate of readmission after discharge from hospital (hospital-wide),READM_30_HOSP_WIDE,12,50,2,0,,07/01/2016,06/30/2017,Not Applicable,Not Applicable,Not Applicable,Not Applicable
OK,Rate of readmission after discharge from hospital (hospital-wide),READM_30_HOSP_WIDE,2,112,3,7,,07/01/2016,06/30/2017,Not Applicable,Not Applicable,Not Applicable,Not Applicable
